survey,item,variable,probe_variable,wording,probe_wording,fielded,correct_answer,key_codes,alt_key_codes,key_source,note
ANES 2000,lott,V001446b,V001448,"The first name is TRENT LOTT. What job or political office does he NOW hold?","[Probe DKs with] ""Well, what's your best guess?"" (experimental form only)",2000-11-16 to 2000-12-21,Senate Majority Leader,1,,"ANES 2000 codebook V001446b (release 2005-Oct-06); Lott was Majority Leader from 1996 to Jan 3 2001",Probe given only on the K2 experimental form (V000127b = 1); a randomization failure put nearly all interviews before 2000-11-16 on the standard form (V000262)
ANES 2000,rehnquist,V001449b,V001451,"WILLIAM REHNQUIST (What job or political office does he NOW hold?)","""Well, what's your best guess?""",2000-11-16 to 2000-12-21,Chief Justice of the Supreme Court,1,,ANES 2000 codebook V001449b; Rehnquist was Chief Justice 1986-2005,"ANES codes a bare ""Supreme Court justice"" as incomplete (5); pre-2008 ANES coding of this item is disputed (Gibson and Caldeira 2009)"
ANES 2000,blair,V001452b,V001454,"TONY BLAIR (What job or political office does he NOW hold?)","""Well, what's your best guess?""",2000-11-16 to 2000-12-21,Prime Minister of Great Britain,1,,ANES 2000 codebook V001452b; Blair was Prime Minister 1997-2007,
ANES 2000,reno,V001455b,V001457,"JANET RENO (What job or political office does she NOW hold?)","""Well, what's your best guess?""",2000-11-16 to 2000-12-21,Attorney General of the United States,1,,ANES 2000 codebook V001455b; Reno was Attorney General until Jan 20 2001,
ANES 2004,hastert,V045162,V045162a,"The first name is Dennis Hastert. What job or political office does he NOW hold?","""Well, what's your best guess?"" (DK key not allowed)",2004-11-03 to 2004-12-19,Speaker of the House,1,,ANES 2004 codebook V045162 (release 2005AUG16); Hastert was Speaker 1999-2007,Asked of every post-election respondent; 365 made no attempt and were not probed
ANES 2004,cheney,V045163,V045163a,"Dick Cheney. What job or political office does he NOW hold?","""Well, what's your best guess?""",2004-11-03 to 2004-12-19,Vice President,1,,ANES 2004 codebook V045163; Cheney was Vice President 2001-2009,
ANES 2004,blair,V045164,V045164a,"Tony Blair. What job or political office does he NOW hold?","""Well, what's your best guess?""",2004-11-03 to 2004-12-19,Prime Minister of Great Britain,1,,ANES 2004 codebook V045164,
ANES 2004,rehnquist,V045165,V045165a,"William Rehnquist. What job or political office does he NOW hold?","""Well, what's your best guess?""",2004-11-03 to 2004-12-19,Chief Justice of the Supreme Court,1,,ANES 2004 codebook V045165; Rehnquist died in office Sep 3 2005,
ANES 2008,pelosi,V085120 (text) and PELOSI_Code1-5,V085120a,"The first name is NANCY PELOSI. What job or political office does she NOW hold?","""Well, what's your best guess?"" (DK key not allowed)",2008-11-05 to 2008-12-30,Speaker of the House,"1,2,4,11",PELOSI_Level1 = 1,"ANES 2008 office-recognition master codes (Berent, Krosnick and Lupia 2013); Pelosi was Speaker 2007-2011","Main key: codes naming the office (Speaker; Speaker of Congress; head of the House). ANES Level1 also credits ""member of Congress"""
ANES 2008,cheney,V085121 (text) and CHENEY_Code1-5,V085121a,"DICK CHENEY. What job or political office does he NOW hold?","""Well, what's your best guess?""",2008-11-05 to 2008-12-30,Vice President,"1,4,11",CHENEY_Level1 = 1,ANES 2008 office-recognition master codes; Cheney was Vice President until Jan 20 2009,Code 11 is President of the Senate
ANES 2008,brown,V085122 (text) and BROWN_Code1-5,V085122a,"GORDON BROWN. What job or political office does he NOW hold?","""Well, what's your best guess?""",2008-11-05 to 2008-12-30,Prime Minister of the United Kingdom,"1,2,4,11",BROWN_Level1 = 1,ANES 2008 office-recognition master codes; Brown was Prime Minister Jun 2007-May 2010,"ANES Level1 also credits ""member of Parliament"""
ANES 2008,roberts,V085123 (text) and ROBERTS_Code1-5,V085123a,"JOHN ROBERTS. What job or political office does he NOW hold?","""Well, what's your best guess?""",2008-11-05 to 2008-12-30,Chief Justice of the Supreme Court,"1,2,4,11",ROBERTS_Level1 = 1,ANES 2008 office-recognition master codes; Roberts Chief Justice since Sep 2005,"ANES Level1 also credits ""Supreme Court justice"" (code 14), which the 2000 and 2004 codes count as wrong"
NAES 2004,cut_permanent,cCB25,cCB26,"To the best of your knowledge, who favors making the recent tax cuts permanent—George W. Bush, John Kerry, both, or neither?","""Anyone come to mind?""",2004-07-08 to 2004-10-24,Bush,1,,NAES 2004 codebook cCB25,Item ran to 2004-11-16 but the probe stopped on 2004-10-24; only the probe window is used
NAES 2004,kerry_income,cCB27,cCB28,"John Kerry says that he would eliminate George W. Bush's tax cuts on those making how much money—over $50,000 a year; over $100,000 a year; over $200,000 a year; or over $500,000 a year?","""Anything come to mind?""",2004-04-19 to 2004-10-25,"Over $200,000",3,,NAES 2004 codebook cCB27; Kerry's plan repealed the cuts above $200000,Item ran to 2004-11-16; probe window only
NAES 2004,repeal_wealthy,cCB29.1-5,cCB30,"Which candidate or candidates would repeal George W. Bush's tax cuts for the wealthiest Americans, that is, for those making over $200,000 a year, but keep the tax cuts for those Americans who are making less?","""Anyone come to mind?""",2004-01-30 to 2004-03-02,"Kerry, Edwards, Clark, Lieberman, Kucinich","1,3,5,6,7",5,"Main key: candidates' published plans (Clark and Lieberman: repeal above $200000; Edwards and Kerry: repeal for top earners; Kucinich: repeal for top brackets). Alt key: NAES codebook (Kerry only)","Asked of Democratic primary voters (cRB05 = 2 or cRB12 = 2). Up to five names; correct = at least one name and every name in the key. Kucinich's position is the least well documented"
NAES 2004,repeal_all,cCB31.1-5,cCB32,"Which candidate or candidates would repeal all of George W. Bush's tax cuts?","""Anyone come to mind?""",2004-01-16 to 2004-02-17,"Dean, Gephardt, Moseley Braun, Sharpton","2,4,8,9","8,9","Main key: Dean and Gephardt ran on full repeal (Dean in the race until Feb 18, Gephardt until Jan 20). Alt key: NAES codebook (Moseley Braun or Sharpton; Moseley Braun left the race Jan 15, before fielding)","Asked of Democratic primary voters. Dean is the most common answer and the codebook key scores him wrong"
NAES 2008,r_opposed_cuts_1,CBb04rA-rD,CBb04a,"Which Republican candidate or candidates running for president opposed some of the Bush tax cuts: {Rudy Giuliani,} Mike Huckabee, John McCain, or Mitt Romney?","""Anything come to mind?""","2008-01-14 to 2008-01-27, 2008-01-30 to 2008-02-06",McCain only,McCain yes; others no,,NAES08-Phone codebook CBb04; McCain voted against the 2001 and 2003 cuts,Giuliani offered only until 2008-01-27
NAES 2008,r_opposed_cuts_2,CBb05,CBb05a,"Which Republican candidate or candidates running for president opposed some of the Bush tax cuts: Mike Huckabee, John McCain, both, or neither?","""Anything come to mind?""",2008-02-07 to 2008-03-04,McCain,2,,NAES08-Phone codebook CBb05,
NAES 2008,d_eliminate_some_1,CBb06rA-rC,CBb06a,"Which Democratic candidate or candidates running for president would eliminate the Bush tax cuts for people above a certain income level: Hillary Clinton, John Edwards, or Barack Obama?","""Anything come to mind?""",2008-01-14 to 2008-01-29,"All three",Clinton yes; Edwards yes; Obama yes,,NAES08-Phone codebook CBb06,Not scorable: CBb06rB and CBb06rC are missing from the old NAES 2008 file; correct columns are left empty
NAES 2008,d_eliminate_some_2,CBb07,CBb07a,"Which Democratic candidate or candidates running for president would eliminate the Bush tax cuts for people above a certain income level: Hillary Clinton, Barack Obama, both, or neither?","""Anything come to mind?""",2008-01-30 to 2008-05-22,Both,3,,NAES08-Phone codebook CBb07; both proposed ending the cuts above $250000,
NAES 2008,eliminate_some,CBb08,CBb08a,"Which candidate or candidates running for president would eliminate the Bush tax cuts for people above a certain income level: John McCain, Barack Obama, both, or neither?","""Anything come to mind?""",2008-05-23 to 2008-11-03,Obama,2,,NAES08-Phone codebook CBb08,
NAES 2008,d_working_families,CBb09,CBb09a,"Which Democratic candidate or candidates running for president promises to provide a $1,000 tax cut for working families and no federal income tax for seniors earning under $50,000 per year: Hillary Clinton, Barack Obama, both, or neither?","""Anything come to mind?""",2008-02-26 to 2008-05-22,Obama,2,,NAES08-Phone codebook CBb09,
