case_id,post_date,pelosi_probe,cheney_probe,brown_probe,roberts_probe,brown_code1,brown_code2,brown_code3,brown_code4,brown_code5,cheney_code1,cheney_code2,cheney_code3,cheney_code4,cheney_code5,pelosi_code1,pelosi_code2,pelosi_code3,pelosi_code4,pelosi_code5,roberts_code1,roberts_code2,roberts_code3,roberts_code4,roberts_code5,brown_level1,brown_level2,cheney_level1,cheney_level2,pelosi_level1,pelosi_level2,roberts_level1,roberts_level2
1,2008-11-07,5,5,1,5,24,98,98,98,98,4,98,98,98,98,1,16,24,98,98,1,98,98,98,98,0,0,1,0,1,0,1,0
3,2008-12-12,1,5,1,1,95,98,98,98,98,4,98,98,98,98,1,98,98,98,98,95,98,98,98,98,0,0,1,0,1,0,0,0
4,2008-11-08,1,1,1,1,95,98,98,98,98,23,24,98,98,98,2,16,24,98,98,24,98,98,98,98,0,0,0,0,1,1,0,0
5,2008-12-08,5,5,1,5,95,98,98,98,98,4,98,98,98,98,1,98,98,98,98,14,98,98,98,98,0,0,1,0,1,0,1,0
7,2008-12-09,5,5,1,1,95,98,98,98,98,4,98,98,98,98,1,98,98,98,98,95,97,98,98,98,0,0,1,0,1,0,0,0
8,2008-12-17,5,5,1,1,95,97,98,98,98,4,98,98,98,98,16,24,98,98,98,95,98,98,98,98,0,0,1,0,1,0,0,0
9,2008-11-09,1,5,1,1,24,95,97,98,98,4,98,98,98,98,24,98,98,98,98,95,96,98,98,98,0,0,1,0,0,0,0,0
10,2008-11-09,5,5,1,1,95,96,98,98,98,4,98,98,98,98,1,98,98,98,98,95,97,98,98,98,0,0,1,0,1,0,0,0
11,2008-11-09,5,1,1,1,95,96,98,98,98,4,98,98,98,98,1,98,98,98,98,24,98,98,98,98,0,0,1,0,1,0,0,0
12,2008-12-18,5,5,1,1,95,97,98,98,98,4,98,98,98,98,1,98,98,98,98,95,97,98,98,98,0,0,1,0,1,0,0,0
13,2008-11-06,5,5,5,5,95,98,98,98,98,4,98,98,98,98,11,98,98,98,98,95,98,98,98,98,0,0,1,0,1,0,0,0
14,2008-12-11,1,5,5,1,95,98,98,98,98,4,98,98,98,98,23,24,97,98,98,24,95,98,98,98,0,0,1,0,0,0,0,0
15,2008-11-08,1,5,5,5,95,98,98,98,98,96,97,98,98,98,24,95,97,98,98,95,98,98,98,98,0,0,0,0,0,0,0,0
16,2008-12-10,5,5,5,5,95,98,98,98,98,4,98,98,98,98,1,98,98,98,98,95,98,98,98,98,0,0,1,0,1,0,0,0
17,2008-11-06,5,5,5,5,95,98,98,98,98,95,98,98,98,98,95,98,98,98,98,95,98,98,98,98,0,0,0,0,0,0,0,0
18,2008-11-09,5,5,5,5,95,98,98,98,98,95,98,98,98,98,95,98,98,98,98,95,98,98,98,98,0,0,0,0,0,0,0,0
19,2008-11-07,5,5,5,5,95,98,98,98,98,4,98,98,98,98,1,98,98,98,98,1,98,98,98,98,0,0,1,0,1,0,1,0
20,2008-12-12,5,5,5,5,95,98,98,98,98,4,98,98,98,98,1,98,98,98,98,1,98,98,98,98,0,0,1,0,1,0,1,0
21,2008-11-07,1,5,5,5,95,98,98,98,98,96,97,98,98,98,95,96,97,98,98,95,98,98,98,98,0,0,0,0,0,0,0,0
22,2008-12-09,1,5,1,1,95,98,98,98,98,24,98,98,98,98,95,97,98,98,98,95,98,98,98,98,0,0,0,0,0,0,0,0
23,2008-11-21,1,5,1,5,24,98,98,98,98,4,98,98,98,98,24,96,98,98,98,24,98,98,98,98,0,0,1,0,0,0,0,0
24,2008-11-14,1,1,1,1,23,24,98,98,98,95,97,98,98,98,1,97,98,98,98,23,98,98,98,98,0,0,0,0,1,0,0,0
25,2008-11-19,1,1,1,1,24,98,98,98,98,4,98,98,98,98,24,98,98,98,98,24,98,98,98,98,0,0,1,0,0,0,0,0
27,2008-12-02,1,1,1,1,95,98,98,98,98,95,98,98,98,98,95,98,98,98,98,95,98,98,98,98,0,0,0,0,0,0,0,0
28,2008-12-13,1,1,1,1,24,98,98,98,98,4,98,98,98,98,16,24,98,98,98,24,98,98,98,98,0,0,1,0,1,0,0,0
29,2008-11-28,1,1,5,1,24,98,98,98,98,4,98,98,98,98,95,96,97,98,98,24,98,98,98,98,0,0,1,0,0,0,0,0
30,2008-11-14,1,5,1,5,24,98,98,98,98,4,98,98,98,98,24,98,98,98,98,24,98,98,98,98,0,0,1,0,0,0,0,0
31,2008-12-07,5,5,1,1,95,98,98,98,98,4,98,98,98,98,24,98,98,98,98,95,98,98,98,98,0,0,1,0,0,0,0,0
32,2008-11-19,5,5,1,5,95,98,98,98,98,4,98,98,98,98,1,98,98,98,98,14,98,98,98,98,0,0,1,0,1,0,1,0
33,2008-11-18,5,5,5,1,3,98,98,98,98,4,98,98,98,98,1,98,98,98,98,95,98,98,98,98,0,0,1,0,1,0,0,0
34,2008-11-18,5,5,1,5,95,98,98,98,98,4,98,98,98,98,1,98,98,98,98,14,98,98,98,98,0,0,1,0,1,0,1,0
35,2008-11-07,5,5,5,5,95,98,98,98,98,4,98,98,98,98,1,98,98,98,98,95,98,98,98,98,0,0,1,0,1,0,0,0
36,2008-11-25,1,1,1,1,95,98,98,98,98,95,98,98,98,98,95,98,98,98,98,95,98,98,98,98,0,0,0,0,0,0,0,0
37,2008-11-10,5,5,5,5,24,98,98,98,98,4,98,98,98,98,1,98,98,98,98,24,98,98,98,98,0,0,1,0,1,0,0,0
38,2008-11-28,5,5,5,5,24,98,98,98,98,4,98,98,98,98,1,98,98,98,98,24,98,98,98,98,0,0,1,0,1,0,0,0
39,2008-12-04,1,1,5,5,24,98,98,98,98,4,98,98,98,98,16,98,98,98,98,24,98,98,98,98,0,0,1,0,1,0,0,0
40,2008-11-09,5,5,1,1,95,98,98,98,98,4,98,98,98,98,1,98,98,98,98,95,98,98,98,98,0,0,1,0,1,0,0,0
41,2008-11-16,1,1,5,5,95,98,98,98,98,95,98,98,98,98,95,98,98,98,98,95,98,98,98,98,0,0,0,0,0,0,0,0
42,2008-12-03,1,5,1,5,24,98,98,98,98,24,98,98,98,98,24,98,98,98,98,24,98,98,98,98,0,0,0,0,0,0,0,0
43,2008-11-18,1,1,1,5,24,98,98,98,98,24,98,98,98,98,24,98,98,98,98,24,98,98,98,98,0,0,0,0,0,0,0,0
44,2008-11-18,5,5,1,5,95,98,98,98,98,4,98,98,98,98,24,98,98,98,98,14,98,98,98,98,0,0,1,0,0,0,1,0
