case_id,post_date,hastert,hastert_probe,cheney,cheney_probe,blair,blair_probe,rehnquist,rehnquist_probe
53,2004-11-06,8,1,1,5,1,5,5,1
55,2004-11-20,8,1,1,5,1,5,8,1
56,2004-11-07,5,1,1,5,1,5,1,5
57,2004-11-12,1,5,1,5,1,5,1,5
58,2004-11-08,8,1,1,5,1,5,5,5
59,2004-11-14,8,1,1,5,5,5,5,5
60,2004-11-12,8,5,1,5,1,1,8,5
61,2004-11-17,5,1,1,5,1,5,1,5
62,2004-11-11,8,5,1,5,1,5,1,5
63,2004-11-23,8,5,1,5,1,5,8,5
64,2004-11-15,8,5,1,5,1,5,1,5
66,2004-11-03,1,5,1,5,1,5,1,5
68,2004-11-06,5,5,1,5,1,5,5,5
69,2004-11-07,8,5,8,1,8,5,8,5
70,2004-11-08,1,5,1,5,1,5,1,5
71,2004-11-22,8,1,1,5,8,1,8,1
72,2004-11-16,8,1,1,5,1,5,5,1
73,2004-11-07,1,5,1,5,1,5,1,1
74,2004-11-23,5,5,1,5,1,5,1,5
75,2004-11-23,8,1,1,5,1,5,1,5
77,2004-11-27,8,1,1,5,8,5,8,5
78,2004-11-07,5,1,1,5,1,5,1,5
80,2004-11-19,1,5,1,5,1,5,1,5
82,2004-11-30,8,5,1,5,8,5,8,5
83,2004-12-09,8,1,1,1,5,1,8,1
84,2004-11-08,1,5,1,5,1,5,1,5
85,2004-11-08,8,1,1,5,1,5,8,1
86,2004-11-29,8,1,1,5,8,1,8,1
88,2004-11-04,8,1,1,5,1,5,1,5
89,2004-11-04,8,1,1,5,5,1,1,5
90,2004-11-04,8,1,1,5,1,5,5,5
91,2004-11-07,8,1,1,5,1,5,5,5
92,2004-11-06,8,5,1,5,8,5,5,5
93,2004-11-05,5,5,1,5,1,5,5,5
94,2004-11-11,8,5,1,5,1,5,1,5
95,2004-11-09,8,1,1,5,1,5,1,5
96,2004-11-29,8,1,1,5,1,1,5,1
97,2004-11-07,8,1,1,5,1,5,8,1
98,2004-11-04,8,5,1,5,8,5,8,5
99,2004-11-06,8,1,1,5,1,5,8,1
100,2004-11-18,8,1,1,5,1,5,8,5
101,2004-11-29,8,1,1,5,8,1,5,1
102,2004-12-05,8,1,1,5,5,1,8,1
103,2004-12-05,8,5,1,5,1,5,8,1
104,2004-12-02,5,5,1,5,1,5,1,5
105,2004-11-06,5,5,1,5,1,5,1,5
106,2004-11-05,8,1,1,5,1,5,1,5
108,2004-11-08,8,1,1,5,1,5,1,5
109,2004-11-09,5,1,1,5,1,5,5,5
110,2004-11-23,8,1,1,5,8,1,8,1
111,2004-11-03,8,1,1,5,1,5,1,5
112,2004-11-18,8,5,8,5,8,5,8,5
113,2004-11-27,8,1,1,1,8,1,8,5
114,2004-11-05,5,1,1,5,5,5,5,5
115,2004-11-18,5,1,5,5,5,1,8,5
116,2004-11-29,8,1,5,1,8,1,8,1
117,2004-11-08,1,1,1,5,5,1,8,1
118,2004-11-05,8,5,1,5,1,5,1,5
119,2004-11-16,8,1,1,5,1,5,1,5
120,2004-11-08,8,1,1,5,8,1,8,1
121,2004-11-07,5,1,1,5,5,5,5,5
122,2004-11-05,8,1,1,5,1,1,5,1
123,2004-11-12,1,5,1,5,1,5,1,5
124,2004-11-07,8,5,1,5,5,5,5,5
125,2004-12-03,8,5,1,1,1,5,1,5
126,2004-11-08,8,1,1,5,5,5,1,5
127,2004-12-16,8,5,1,5,5,5,8,5
129,2004-11-28,8,1,1,5,1,5,8,1
130,2004-11-09,1,5,1,5,1,5,1,5
132,2004-11-16,1,5,1,5,1,5,1,5
133,2004-11-15,8,5,1,5,1,5,8,5
134,2004-11-18,8,1,1,1,8,1,8,1
135,2004-11-19,1,5,1,5,1,5,1,5
136,2004-11-18,5,5,1,5,5,5,5,5
137,2004-11-05,8,5,1,5,1,5,5,1
138,2004-11-16,1,5,1,5,1,5,1,5
139,2004-11-20,8,5,1,5,8,5,8,5
140,2004-11-07,8,5,1,5,8,5,8,5
141,2004-11-04,1,5,1,5,1,5,1,5
142,2004-11-16,1,5,1,5,1,5,1,5
143,2004-12-01,8,1,1,5,1,5,1,5
144,2004-11-17,1,5,1,5,1,5,1,5
145,2004-11-09,1,5,1,5,1,5,5,5
146,2004-11-03,1,5,1,5,1,5,1,5
147,2004-11-07,8,5,1,5,1,5,8,5
148,2004-11-08,1,5,1,5,1,5,1,5
149,2004-11-12,1,5,1,5,1,5,5,1
150,2004-12-09,8,1,1,5,1,5,1,5
151,2004-11-15,8,5,1,5,8,5,8,5
152,2004-11-08,5,1,1,5,5,5,5,5
153,2004-12-15,8,1,1,5,1,5,5,1
154,2004-11-04,8,1,1,5,8,1,8,1
156,2004-11-05,8,1,1,5,1,5,5,1
157,2004-11-23,5,5,1,5,1,5,5,1
158,2004-11-05,8,1,8,1,8,1,8,5
159,2004-12-11,8,5,1,5,8,5,8,5
160,2004-11-20,8,5,1,5,8,5,8,5
162,2004-11-10,8,1,1,5,1,5,1,5
163,2004-11-10,5,5,1,5,1,5,1,5
164,2004-11-28,8,5,5,5,8,5,8,5
165,2004-11-22,8,1,1,5,1,5,1,5
166,2004-11-05,8,5,1,5,1,5,1,5
167,2004-11-04,1,5,1,5,1,5,1,5
168,2004-11-11,8,1,1,5,5,1,5,5
169,2004-12-03,5,5,1,5,1,5,5,5
170,2004-11-05,8,5,1,5,1,5,8,5
172,2004-12-13,8,1,5,5,1,1,5,1
173,2004-12-05,8,5,1,5,1,5,8,5
174,2004-11-14,8,1,8,5,8,1,8,5
175,2004-11-12,8,1,5,5,5,5,5,5
176,2004-11-05,8,1,1,5,1,5,5,1
177,2004-11-10,8,1,1,5,1,5,1,1
178,2004-11-08,5,1,1,5,1,1,1,5
179,2004-11-16,8,1,1,5,8,1,8,1
180,2004-12-05,8,1,1,5,1,5,8,1
181,2004-11-06,8,5,1,5,1,5,5,5
182,2004-11-09,8,1,1,5,1,5,5,5
183,2004-11-03,8,5,1,5,1,5,5,5
184,2004-11-04,8,1,1,5,5,5,1,5
185,2004-11-16,8,1,8,1,8,1,8,1
186,2004-11-20,8,1,5,5,8,1,8,1
187,2004-11-11,5,1,1,5,1,5,5,5
188,2004-11-06,8,1,1,5,5,5,5,5
189,2004-11-12,8,1,1,5,1,5,1,5
190,2004-11-07,8,1,1,5,1,5,8,1
191,2004-11-22,8,1,1,5,1,5,5,1
192,2004-11-15,8,1,1,5,1,5,1,5
193,2004-11-20,1,5,1,5,1,5,1,5
194,2004-11-13,8,5,1,5,1,5,1,5
195,2004-12-16,8,5,1,5,1,5,5,5
197,2004-11-10,8,5,1,5,5,1,8,5
198,2004-11-29,5,1,1,5,1,5,5,1
199,2004-11-07,8,1,8,1,8,1,8,1
200,2004-12-13,8,1,1,5,1,5,1,5
201,2004-12-08,5,5,1,5,1,5,1,5
202,2004-12-09,8,5,1,5,1,5,8,1
203,2004-11-19,8,5,1,5,1,5,1,5
204,2004-11-09,8,5,1,5,1,5,5,5
205,2004-11-12,8,5,8,5,8,5,8,5
206,2004-11-21,8,5,1,5,5,5,8,5
207,2004-11-15,8,1,8,1,8,1,8,1
208,2004-11-15,8,1,8,1,8,1,8,1
209,2004-11-17,5,1,1,5,1,5,1,5
210,2004-11-13,5,1,1,5,1,5,5,1
211,2004-11-09,8,1,1,5,1,5,1,5
213,2004-11-18,8,5,1,5,1,5,5,5
215,2004-11-04,8,5,8,1,8,5,8,5
216,2004-11-12,8,1,1,5,5,1,5,1
217,2004-11-04,8,5,1,5,1,5,1,5
218,2004-11-11,8,5,1,5,1,5,8,5
219,2004-11-11,1,5,1,5,1,5,1,5
221,2004-12-10,8,5,1,5,8,5,8,5
223,2004-11-05,5,1,1,5,5,5,8,5
224,2004-11-09,8,5,1,5,1,5,1,5
225,2004-11-24,8,5,1,5,1,5,8,5
226,2004-11-11,8,1,1,5,1,5,1,5
227,2004-11-07,8,1,1,5,8,1,8,1
228,2004-11-05,5,1,1,5,5,1,5,1
229,2004-12-01,8,5,1,5,8,5,8,5
230,2004-11-16,8,1,1,5,1,5,5,5
232,2004-11-08,8,5,1,5,1,5,8,5
233,2004-11-20,8,1,1,5,1,5,1,5
234,2004-12-08,8,5,1,5,1,5,8,5
235,2004-11-16,8,5,1,5,1,5,8,5
237,2004-11-21,8,5,1,5,1,5,5,5
238,2004-11-04,8,5,8,5,8,5,8,5
239,2004-12-11,5,1,1,5,1,5,5,5
240,2004-11-08,8,1,1,5,1,5,8,1
241,2004-12-01,8,5,8,5,8,5,5,5
242,2004-11-06,8,5,1,5,1,5,1,5
243,2004-11-15,8,1,8,1,8,1,8,1
245,2004-11-09,8,1,1,5,1,5,5,5
246,2004-11-06,1,5,1,5,1,5,1,5
247,2004-11-30,5,1,1,5,5,1,8,1
248,2004-11-08,5,1,1,5,5,5,5,5
249,2004-11-04,8,1,1,5,8,1,8,5
250,2004-11-18,8,1,1,5,8,1,5,1
251,2004-11-08,8,5,1,5,1,5,5,1
252,2004-11-08,5,5,1,5,1,5,5,5
253,2004-12-13,8,1,1,5,1,5,1,5
254,2004-11-16,8,1,1,5,1,5,5,5
255,2004-11-11,8,5,1,5,1,5,8,5
256,2004-11-06,8,1,1,5,1,5,8,1
257,2004-11-17,8,5,1,5,1,1,8,5
258,2004-11-08,8,1,1,5,8,1,8,1
260,2004-12-16,8,5,1,5,1,5,1,5
261,2004-12-02,8,5,1,5,1,5,8,5
262,2004-11-11,8,1,1,5,1,5,1,5
263,2004-11-08,8,5,8,5,8,5,8,5
264,2004-11-16,8,5,1,5,1,5,1,5
265,2004-11-08,8,5,1,5,1,5,5,5
266,2004-11-28,5,1,1,5,1,5,1,5
267,2004-11-15,8,5,1,5,5,5,8,5
268,2004-11-24,1,5,1,5,1,5,1,5
269,2004-11-11,8,1,1,5,1,5,5,1
270,2004-11-16,8,5,1,5,5,5,8,5
271,2004-11-11,8,1,1,5,5,5,8,1
272,2004-12-14,8,1,1,5,5,5,8,1
273,2004-12-06,8,1,8,1,5,5,8,1
274,2004-11-29,8,5,8,5,8,1,8,1
275,2004-11-16,8,1,8,1,1,5,8,1
276,2004-11-07,8,5,1,5,1,5,8,5
277,2004-12-16,8,1,1,5,1,5,1,5
279,2004-11-12,8,5,8,5,8,5,8,5
280,2004-11-13,8,1,1,5,8,1,8,5
282,2004-11-15,8,5,1,5,1,5,8,5
283,2004-11-11,8,5,1,5,1,1,1,5
284,2004-11-29,8,1,1,5,1,5,8,1
285,2004-11-13,8,1,1,5,1,1,1,1
286,2004-11-20,8,5,1,5,8,5,8,5
287,2004-11-10,8,5,8,5,8,5,8,5
288,2004-12-08,8,1,1,5,1,5,8,1
289,2004-11-20,8,1,1,5,8,1,8,1
290,2004-11-09,8,5,1,5,1,5,8,5
292,2004-11-17,8,1,1,5,1,5,8,1
293,2004-11-03,5,1,1,5,5,5,5,5
294,2004-12-09,8,5,1,5,1,5,8,5
295,2004-12-09,1,5,1,5,1,5,1,5
296,2004-11-04,8,1,1,5,1,5,5,1
297,2004-11-27,8,1,5,1,8,1,8,1
298,2004-11-20,8,1,5,5,8,5,8,5
299,2004-11-04,5,1,1,5,1,5,5,5
300,2004-11-30,8,1,1,5,1,5,5,1
301,2004-11-09,8,5,1,5,1,5,5,1
302,2004-11-11,8,5,8,5,8,5,8,5
303,2004-11-07,8,1,1,5,8,1,8,1
304,2004-11-08,8,1,1,5,1,5,8,1
305,2004-11-09,8,1,1,5,1,5,1,5
306,2004-11-21,8,5,5,5,8,5,8,5
307,2004-11-05,8,5,1,5,1,1,8,5
308,2004-11-07,8,1,1,5,1,5,1,5
309,2004-11-23,8,1,1,5,5,5,8,1
310,2004-11-10,1,5,1,5,5,5,1,5
311,2004-11-18,8,5,8,5,8,5,8,5
312,2004-11-16,8,1,1,5,1,5,5,5
313,2004-11-06,1,5,1,5,1,5,5,1
315,2004-11-17,8,5,1,5,1,5,1,1
316,2004-11-19,1,5,1,5,1,5,5,5
317,2004-11-06,1,5,1,5,1,5,1,5
318,2004-11-04,5,1,8,5,8,5,8,5
320,2004-11-13,8,1,1,5,1,5,8,1
322,2004-11-16,8,1,1,5,1,5,8,1
323,2004-11-13,8,1,1,5,1,5,1,5
324,2004-11-05,8,1,1,5,1,5,1,5
325,2004-11-13,5,1,1,5,1,5,5,1
326,2004-11-06,5,1,1,5,1,5,5,5
327,2004-11-03,8,1,1,5,1,5,5,5
328,2004-11-20,8,5,1,5,8,5,8,5
329,2004-11-08,8,1,5,1,5,1,5,1
330,2004-12-06,8,1,1,5,1,5,5,5
331,2004-12-07,8,1,1,5,1,5,1,5
332,2004-11-09,8,5,8,5,8,1,8,1
333,2004-11-14,8,5,1,5,1,5,8,5
334,2004-11-04,8,1,1,5,1,5,1,5
335,2004-11-06,8,5,1,5,1,5,5,5
336,2004-11-18,8,5,1,5,1,5,8,1
337,2004-11-08,8,1,1,5,1,5,8,1
338,2004-12-16,8,5,1,5,1,5,8,5
339,2004-11-21,8,5,1,5,1,5,5,5
340,2004-11-23,8,1,1,5,1,5,1,1
341,2004-12-11,8,5,1,5,1,5,8,5
343,2004-11-11,8,1,1,5,8,1,8,1
344,2004-11-11,8,5,1,5,1,5,1,5
345,2004-11-22,8,1,1,5,1,5,5,5
346,2004-12-04,8,1,1,5,1,5,8,1
347,2004-11-11,8,5,1,1,8,5,8,5
348,2004-11-06,5,5,1,5,1,5,1,5
349,2004-11-12,8,1,8,1,8,1,8,1
350,2004-12-10,1,1,1,5,1,1,5,5
351,2004-11-05,8,5,1,5,1,5,1,5
352,2004-11-05,8,1,8,1,8,5,8,5
353,2004-12-04,1,1,1,5,1,5,1,5
354,2004-11-06,1,5,1,5,1,5,1,5
355,2004-11-12,8,1,1,1,1,5,8,1
356,2004-11-03,8,1,1,5,1,5,1,5
357,2004-11-09,8,5,1,5,1,5,5,5
358,2004-11-27,8,1,1,5,8,1,8,5
359,2004-11-21,8,1,1,5,1,5,1,5
360,2004-11-10,1,5,1,5,5,5,5,5
361,2004-11-17,8,1,1,5,8,1,8,1
362,2004-11-18,8,5,1,1,5,5,8,5
363,2004-12-14,5,1,5,5,1,1,5,1
364,2004-11-11,8,1,1,5,1,1,8,1
365,2004-11-17,8,5,1,5,1,5,1,5
366,2004-11-19,8,5,1,5,1,5,1,5
367,2004-11-20,8,1,1,5,5,5,8,5
368,2004-11-15,8,5,1,5,1,5,8,5
369,2004-11-04,8,1,5,1,8,1,8,1
370,2004-12-16,8,5,1,5,1,5,5,1
371,2004-11-13,8,1,1,5,1,5,8,1
372,2004-11-28,8,1,1,5,1,5,5,1
373,2004-11-16,8,5,1,5,8,5,8,5
376,2004-11-04,5,1,1,5,1,5,1,5
377,2004-11-04,8,5,1,5,1,5,5,5
379,2004-11-11,8,1,1,5,5,1,8,1
380,2004-11-10,8,1,1,5,8,1,8,5
381,2004-11-06,8,1,1,5,1,5,1,5
382,2004-11-20,8,1,1,5,1,5,8,1
383,2004-11-13,8,1,1,5,5,5,8,1
384,2004-11-20,8,5,8,1,8,1,8,5
385,2004-11-09,8,5,1,5,1,5,1,5
386,2004-12-05,8,5,8,5,8,5,8,5
387,2004-11-04,8,1,1,5,5,1,5,5
388,2004-11-12,8,5,1,5,1,5,8,5
389,2004-12-03,8,5,1,5,8,5,8,5
390,2004-11-11,8,5,1,5,8,5,8,5
391,2004-11-16,8,5,1,1,1,5,8,5
392,2004-11-24,8,1,1,5,5,5,8,1
393,2004-11-05,1,5,1,5,1,5,1,5
394,2004-11-10,8,1,1,5,1,5,5,5
395,2004-11-09,1,5,1,5,1,5,1,5
396,2004-11-30,8,5,1,5,1,5,1,5
397,2004-11-23,5,1,1,5,1,5,1,5
398,2004-12-05,8,1,8,5,8,5,8,5
399,2004-11-08,8,1,1,5,1,5,1,5
400,2004-11-16,8,1,1,5,1,5,1,5
401,2004-12-13,8,5,5,1,8,5,8,5
402,2004-11-11,8,5,1,5,1,5,8,5
403,2004-11-12,8,1,1,5,5,5,5,1
404,2004-11-08,1,5,1,5,1,5,1,5
405,2004-11-05,8,5,1,1,1,5,5,1
406,2004-11-15,8,5,1,5,1,5,5,5
407,2004-12-08,8,1,1,5,5,1,8,1
408,2004-12-01,8,5,1,5,1,5,8,5
409,2004-11-13,8,1,1,5,1,5,8,1
410,2004-11-30,8,1,5,1,8,1,8,1
411,2004-11-09,8,1,1,5,8,1,1,5
412,2004-12-09,8,1,1,5,1,5,1,5
413,2004-11-07,8,5,8,5,8,5,8,5
414,2004-11-03,5,1,5,5,5,5,5,5
415,2004-11-27,8,5,8,5,8,5,8,5
417,2004-11-07,5,5,1,5,5,1,5,5
418,2004-11-09,8,1,1,5,1,5,5,5
419,2004-11-05,1,5,1,5,1,5,1,5
422,2004-11-10,8,5,1,5,1,5,1,5
423,2004-11-29,1,1,1,5,1,5,1,5
424,2004-11-13,8,5,1,5,1,1,8,5
425,2004-11-05,8,1,8,1,8,1,8,1
426,2004-11-05,1,5,1,5,1,5,1,5
427,2004-11-05,8,5,1,5,1,5,1,5
428,2004-11-09,8,5,1,5,8,5,8,5
429,2004-11-05,5,5,1,5,1,5,1,5
430,2004-11-20,8,1,1,5,1,5,5,1
432,2004-11-06,8,1,1,5,1,5,1,5
433,2004-11-23,8,1,1,5,8,5,8,1
434,2004-11-05,8,5,1,5,1,5,8,5
435,2004-11-03,8,1,1,5,5,5,1,1
436,2004-11-22,8,1,1,5,1,5,8,1
437,2004-11-23,5,1,1,5,1,5,1,5
438,2004-11-03,8,5,1,5,1,5,8,5
439,2004-11-23,5,1,1,5,1,5,5,5
441,2004-11-27,8,5,8,5,8,5,5,5
442,2004-11-10,8,5,1,5,1,5,8,5
443,2004-11-22,8,1,1,5,1,5,1,5
444,2004-11-09,1,5,1,5,1,5,1,5
445,2004-11-08,1,5,1,5,1,5,5,1
446,2004-12-10,5,1,1,5,1,5,1,5
447,2004-11-15,8,1,1,5,8,1,8,1
449,2004-11-14,8,1,1,5,1,5,8,5
452,2004-12-06,8,1,1,5,1,5,8,5
453,2004-11-12,8,5,1,5,1,5,5,5
455,2004-11-05,8,1,1,5,8,1,8,1
456,2004-11-18,8,5,1,5,8,5,8,5
457,2004-11-04,8,5,1,5,1,5,1,5
458,2004-11-16,5,1,1,5,1,1,5,1
459,2004-11-16,8,5,1,5,1,5,5,5
460,2004-11-06,8,1,1,5,1,5,8,1
461,2004-11-15,8,1,1,5,8,1,8,1
462,2004-11-05,8,5,1,5,1,5,8,5
463,2004-11-08,8,5,1,5,1,5,8,5
464,2004-11-22,8,1,1,5,1,5,5,1
465,2004-11-07,8,5,1,5,1,5,1,5
466,2004-11-08,5,1,1,1,1,5,1,5
467,2004-11-29,8,1,1,5,5,5,5,5
468,2004-11-26,8,1,5,5,1,5,8,1
469,2004-11-09,8,1,1,1,1,5,1,5
470,2004-11-22,8,1,1,5,1,5,8,5
471,2004-11-22,1,5,1,5,1,5,1,5
472,2004-11-07,1,5,1,5,1,5,1,5
473,2004-11-04,8,5,1,5,1,5,8,5
474,2004-11-15,8,1,1,5,1,5,5,5
475,2004-11-13,8,1,5,1,5,1,5,1
476,2004-11-08,8,5,1,5,5,1,1,5
477,2004-12-11,8,5,1,5,5,5,8,5
478,2004-11-09,8,5,1,5,1,1,8,5
480,2004-11-30,8,1,1,1,1,5,8,1
481,2004-11-16,8,1,1,5,1,5,8,1
482,2004-11-16,8,5,1,5,8,5,1,5
483,2004-11-10,8,1,1,5,1,5,5,1
484,2004-12-01,8,1,1,5,1,5,8,1
485,2004-11-26,8,1,5,1,5,1,5,5
486,2004-11-21,5,1,1,5,1,5,1,5
487,2004-11-05,8,1,1,5,1,5,8,1
488,2004-11-14,8,1,1,5,1,5,1,5
489,2004-11-26,1,5,1,5,1,5,1,5
490,2004-11-09,8,1,1,5,1,5,8,1
491,2004-11-18,8,1,8,1,5,1,8,1
492,2004-11-09,8,1,8,1,8,1,8,1
493,2004-12-15,8,5,1,5,1,5,1,5
494,2004-11-07,5,1,1,5,5,5,8,1
495,2004-11-13,8,5,1,5,5,5,8,5
496,2004-11-08,5,1,1,5,1,5,5,1
497,2004-11-17,8,1,1,5,1,5,5,1
498,2004-11-10,8,5,1,5,1,5,8,5
499,2004-11-30,8,5,1,5,8,5,8,5
500,2004-11-08,5,1,1,5,1,5,5,5
501,2004-11-13,1,5,1,5,1,5,1,5
502,2004-12-07,8,5,1,5,1,5,8,5
503,2004-11-08,8,1,1,5,1,5,5,1
504,2004-11-08,8,5,1,5,1,5,8,5
505,2004-11-23,1,5,1,5,1,5,1,5
506,2004-11-05,8,1,1,5,8,1,8,1
507,2004-12-05,8,1,1,5,1,5,8,1
508,2004-11-08,8,1,1,5,1,5,1,5
509,2004-11-11,5,1,1,5,5,1,8,1
510,2004-12-01,1,1,1,5,1,5,1,5
511,2004-11-08,8,5,1,5,1,5,1,5
512,2004-11-04,8,1,1,5,5,5,8,1
513,2004-12-02,8,1,1,5,8,1,8,1
514,2004-11-11,8,1,1,5,1,1,8,1
516,2004-11-11,8,5,5,5,8,5,8,5
517,2004-11-08,8,5,5,1,8,5,8,5
518,2004-11-15,8,1,1,5,1,1,1,1
522,2004-11-22,8,1,1,5,8,1,8,1
523,2004-11-06,8,1,1,5,1,5,5,5
524,2004-11-18,8,1,8,1,8,1,8,5
526,2004-11-05,8,1,1,5,8,1,8,1
527,2004-12-09,1,5,1,5,8,1,1,5
528,2004-11-24,8,1,1,5,1,5,1,5
530,2004-11-06,8,1,1,5,1,5,8,1
531,2004-11-03,8,1,1,5,1,1,5,1
533,2004-11-11,8,1,1,5,1,5,5,5
534,2004-12-04,8,1,1,5,1,5,8,1
535,2004-11-07,5,5,1,5,1,5,1,5
536,2004-11-10,1,5,1,5,1,5,1,5
537,2004-12-14,5,1,5,1,5,1,5,1
538,2004-11-16,8,1,1,5,1,5,5,5
539,2004-11-16,8,5,1,5,1,5,1,5
541,2004-11-07,8,1,1,5,5,5,8,1
542,2004-12-06,8,1,1,5,1,1,1,5
543,2004-11-15,5,1,5,1,5,1,5,1
544,2004-11-08,8,5,1,5,5,1,8,5
545,2004-11-14,8,5,1,5,1,5,1,5
546,2004-11-14,8,1,1,5,1,5,5,5
547,2004-11-15,8,5,1,5,1,5,1,5
548,2004-11-11,8,1,8,1,8,1,8,1
549,2004-11-07,8,5,1,5,1,5,8,5
550,2004-11-09,1,5,1,5,1,5,1,5
551,2004-11-08,8,1,1,5,1,5,8,5
552,2004-12-14,8,1,1,5,1,1,1,5
554,2004-12-04,8,1,8,1,8,1,8,1
555,2004-11-14,5,1,1,5,1,5,5,5
556,2004-11-28,8,1,1,5,1,5,5,1
557,2004-12-03,8,1,8,1,8,1,8,1
558,2004-11-28,1,5,1,5,1,5,1,5
559,2004-11-06,5,1,1,1,1,5,5,1
560,2004-11-15,8,5,1,5,8,1,8,1
561,2004-11-04,8,1,8,5,8,1,8,1
562,2004-11-05,8,5,1,5,1,5,1,5
563,2004-11-27,1,5,1,5,1,5,1,5
564,2004-11-11,5,5,1,5,1,5,5,5
565,2004-11-17,8,5,1,5,1,5,1,5
566,2004-11-03,8,5,1,5,1,5,1,5
567,2004-11-22,1,5,1,5,1,5,1,5
568,2004-11-10,1,5,1,5,1,5,1,5
569,2004-11-15,8,5,1,5,1,5,5,5
570,2004-12-15,8,5,1,5,1,5,8,5
571,2004-11-12,8,1,1,5,1,5,5,5
572,2004-12-14,8,5,1,5,1,5,1,5
573,2004-11-09,5,1,5,1,5,1,5,1
574,2004-12-02,8,1,1,5,5,5,8,1
576,2004-11-06,8,1,1,5,8,1,8,1
577,2004-11-10,8,1,1,5,8,1,8,1
578,2004-12-19,8,1,1,5,1,5,8,1
579,2004-11-05,8,5,1,5,8,5,1,5
580,2004-11-09,8,5,1,5,8,5,8,5
581,2004-11-08,8,1,1,5,1,5,1,5
582,2004-11-08,8,1,1,5,5,5,1,5
583,2004-11-10,1,5,1,5,1,5,1,5
584,2004-11-04,1,5,1,5,1,5,1,5
585,2004-11-18,8,1,8,1,8,5,8,5
586,2004-11-10,1,5,1,5,1,5,1,5
587,2004-11-08,8,1,5,1,5,1,5,1
588,2004-11-08,8,1,1,5,5,5,8,1
589,2004-12-02,5,1,1,5,1,5,5,1
590,2004-11-05,8,5,1,5,1,5,1,5
591,2004-12-15,8,1,1,5,5,1,8,1
592,2004-12-01,8,1,1,5,1,5,1,5
594,2004-11-27,8,1,1,5,1,5,5,1
595,2004-11-11,8,5,5,1,8,5,8,5
596,2004-11-07,8,5,1,5,5,5,8,5
597,2004-11-15,8,5,1,5,8,5,8,5
599,2004-11-13,8,5,5,5,8,1,8,5
600,2004-11-20,8,5,1,5,1,5,8,5
601,2004-11-11,5,1,1,5,1,5,5,5
602,2004-11-15,8,5,1,5,1,5,1,5
604,2004-11-09,1,1,1,5,1,1,8,1
605,2004-11-17,8,1,1,5,1,5,5,1
606,2004-12-04,8,5,1,5,8,5,8,5
607,2004-11-11,8,5,1,5,1,5,8,5
608,2004-11-08,8,1,1,5,1,5,8,1
609,2004-12-02,8,1,1,5,5,1,8,1
610,2004-11-07,8,1,1,5,1,1,1,1
611,2004-11-08,8,5,1,5,1,5,8,1
612,2004-11-16,1,5,1,5,1,5,1,5
613,2004-11-20,8,1,1,5,1,5,8,1
614,2004-11-09,5,1,1,5,1,1,8,5
616,2004-11-20,8,1,1,5,5,5,5,1
617,2004-12-08,8,1,1,5,8,5,8,5
618,2004-11-15,8,1,1,5,1,5,1,5
619,2004-11-14,8,5,8,5,8,5,8,5
620,2004-12-03,8,1,1,5,8,1,8,1
