case_id,post_date,hastert,hastert_probe,cheney,cheney_probe,blair,blair_probe,rehnquist,rehnquist_probe
1,2004-11-11,8,5,5,5,5,1,5,5
2,2004-11-10,8,1,1,5,1,5,8,1
3,2004-11-04,8,1,1,5,1,5,5,1
5,2004-11-20,1,5,1,5,1,5,8,5
6,2004-11-06,8,5,1,5,1,5,5,1
7,2004-11-05,8,1,1,5,1,5,1,5
8,2004-11-05,5,1,1,1,1,5,1,5
10,2004-11-08,1,5,1,5,1,5,1,5
11,2004-12-19,8,1,1,5,8,5,8,5
12,2004-11-15,5,1,1,5,5,5,5,5
13,2004-11-09,8,1,5,5,8,1,8,1
14,2004-11-18,8,5,1,5,1,5,5,5
15,2004-11-16,8,1,1,5,1,5,5,1
16,2004-11-08,8,5,1,5,1,5,8,5
18,2004-11-08,8,5,1,5,1,5,8,5
20,2004-11-19,8,1,1,5,8,1,5,5
21,2004-11-29,8,1,1,5,1,5,8,1
23,2004-11-29,8,1,1,5,5,1,8,1
24,2004-12-07,1,5,1,5,1,5,1,5
25,2004-11-27,8,5,8,1,8,5,8,5
26,2004-11-08,8,5,1,5,8,5,8,5
27,2004-11-09,8,1,1,5,1,5,1,5
28,2004-11-14,8,1,1,5,8,1,8,1
29,2004-11-14,8,5,1,5,5,5,8,5
30,2004-11-22,5,1,1,5,1,5,1,5
33,2004-11-10,5,1,1,5,1,5,1,5
34,2004-12-01,1,5,1,5,1,5,1,5
35,2004-11-15,8,1,8,1,8,1,8,1
36,2004-11-04,5,5,1,5,8,1,5,1
37,2004-11-03,8,1,1,5,1,5,5,5
38,2004-11-08,5,1,1,5,1,5,1,5
39,2004-11-18,8,1,1,5,1,5,1,5
40,2004-11-08,8,5,1,5,1,5,5,5
41,2004-11-07,5,5,1,5,1,5,1,5
42,2004-11-21,8,5,1,5,1,5,5,5
43,2004-11-12,8,5,5,1,8,1,8,5
44,2004-11-07,5,1,1,5,1,5,1,1
45,2004-11-11,1,5,1,5,1,5,1,5
46,2004-12-08,8,5,1,5,1,5,1,5
48,2004-12-17,5,1,5,1,5,1,8,1
50,2004-11-07,8,5,1,5,1,5,1,1
51,2004-11-15,8,5,1,5,1,5,8,5
52,2004-11-06,8,5,1,5,1,5,8,1
