study,item,dk_arm,n,correct,dk,corrected,encouraging,discouraging,difference,std_error,n_encouraging,n_discouraging,respondents,measure
alumni,reagan,discouraging,188,0.7446808510638298,0.05319148936170213,0.6436170212765958,,,,,,,,
alumni,reagan,encouraging,151,0.6225165562913907,0.152317880794702,0.509933774834437,,,,,,,,
staff,reagan,encouraging,93,0.6774193548387096,0.0967741935483871,0.5645161290322581,,,,,,,,
staff,reagan,discouraging,80,0.6625,0.075,0.53125,,,,,,,,
alumni,clinton,discouraging,188,0.7606382978723404,0.026595744680851064,0.6542553191489364,,,,,,,,
alumni,clinton,encouraging,151,0.7880794701986755,0.039735099337748346,0.7019867549668874,,,,,,,,
staff,clinton,encouraging,93,0.8064516129032258,0.043010752688172046,0.7311827956989247,,,,,,,,
staff,clinton,discouraging,80,0.775,0.0125,0.66875,,,,,,,,
alumni,bush,discouraging,188,0.9574468085106383,0.010638297872340425,0.9414893617021277,,,,,,,,
alumni,bush,encouraging,151,0.9337748344370861,0.013245033112582781,0.9072847682119205,,,,,,,,
staff,bush,encouraging,93,0.946236559139785,0.03225806451612903,0.9354838709677419,,,,,,,,
staff,bush,discouraging,80,0.95,0.0125,0.93125,,,,,,,,
alumni,reagan,,,,,,0.6225165562913907,0.7446808510638298,0.12216429477243906,0.05082659515517296,151,188,,correct
staff,reagan,,,,,,0.6774193548387096,0.6625,-0.014919354838709653,0.0721494546935059,93,80,,correct
alumni,clinton,,,,,,0.7880794701986755,0.7606382978723404,-0.02744117232633514,0.04568397316154739,151,188,,correct
staff,clinton,,,,,,0.8064516129032258,0.775,-0.031451612903225734,0.06248104314268105,93,80,,correct
alumni,bush,,,,,,0.9337748344370861,0.9574468085106383,0.02367197407355226,0.025102519989265885,151,188,,correct
staff,bush,,,,,,0.946236559139785,0.95,0.0037634408602149616,0.03397399724714153,93,80,,correct
alumni,pooled,,,,,,,,0.03946503217321824,0.028407967074022756,,,339,correct
staff,pooled,,,,,,,,-0.014202508960573559,0.03909353477242273,,,173,correct
alumni,reagan,,,,,,0.152317880794702,0.05319148936170213,-0.09912639143299987,0.033616919785155665,151,188,,dk
staff,reagan,,,,,,0.0967741935483871,0.075,-0.021774193548387097,0.042758178502195064,93,80,,dk
alumni,clinton,,,,,,0.039735099337748346,0.026595744680851064,-0.013139354656897282,0.019819573882949977,151,188,,dk
staff,clinton,,,,,,0.043010752688172046,0.0125,-0.030510752688172046,0.024569295932597976,93,80,,dk
alumni,bush,,,,,,0.013245033112582781,0.010638297872340425,-0.002606735240242356,0.011975590573684853,151,188,,dk
staff,bush,,,,,,0.03225806451612903,0.0125,-0.01975806451612903,0.022261411775468795,93,80,,dk
alumni,pooled,,,,,,,,-0.038290827110047644,0.016828447678614904,,,339,dk
staff,pooled,,,,,,,,-0.024014336917562377,0.023077474773881935,,,173,dk
alumni,reagan,,,,,,0.509933774834437,0.6436170212765958,0.1336832464421588,0.0694917893411663,151,188,,corrected
staff,reagan,,,,,,0.5645161290322581,0.53125,-0.03326612903225812,0.10078316357576393,93,80,,corrected
alumni,clinton,,,,,,0.7019867549668874,0.6542553191489364,-0.04773143581795103,0.06571602710159091,151,188,,corrected
staff,clinton,,,,,,0.7311827956989247,0.66875,-0.06243279569892479,0.0904719310299483,93,80,,corrected
alumni,bush,,,,,,0.9072847682119205,0.9414893617021277,0.034204593490207214,0.03533099694033865,151,188,,corrected
staff,bush,,,,,,0.9354838709677419,0.93125,-0.0042338709677418596,0.0446964319672401,93,80,,corrected
alumni,pooled,,,,,,,,0.04005213470480448,0.03976195252535478,,,339,corrected
staff,pooled,,,,,,,,-0.03331093189964135,0.05391247637529214,,,173,corrected
