study,item,form,n,correct,dk,corrected,open,closed,difference,std_error,n_open,n_closed,respondents,measure
alumni,ww2,closed,184,0.5815217391304348,0.20108695652173914,0.5271739130434782,,,,,,,,
alumni,ww2,open,155,0.5806451612903226,0.012903225806451613,0.5806451612903226,,,,,,,,
staff,ww2,open,93,0.43010752688172044,0.021505376344086023,0.4301075268817204,,,,,,,,
staff,ww2,closed,80,0.4375,0.2125,0.35,,,,,,,,
alumni,women_death,closed,184,0.6793478260869565,0.11413043478260869,0.6105072463768116,,,,,,,,
alumni,women_death,open,155,0.5806451612903226,0.012903225806451613,0.5806451612903226,,,,,,,,
staff,women_death,open,93,0.6236559139784946,0.03225806451612903,0.6236559139784946,,,,,,,,
staff,women_death,closed,80,0.75,0.0875,0.6958333333333333,,,,,,,,
alumni,ww2,,,,,,0.5806451612903226,0.5815217391304348,8.765778401121915e-4,0.053953216643695796,155,184,,correct
staff,ww2,,,,,,0.43010752688172044,0.4375,0.007392473118279563,0.07602239601897276,93,80,,correct
alumni,women_death,,,,,,0.5806451612903226,0.6793478260869565,0.09870266479663392,0.052645007936892994,155,184,,correct
staff,women_death,,,,,,0.6236559139784946,0.75,0.12634408602150538,0.07017552878612204,93,80,,correct
alumni,pooled,,,,,,,,0.04978962131837327,0.038808489411045775,,,339,correct
staff,pooled,,,,,,,,0.06686827956989275,0.05099626140170336,,,173,correct
alumni,ww2,,,,,,0.5806451612903226,0.5271739130434782,-0.05347124824684446,0.057571335141449326,155,184,,corrected
staff,ww2,,,,,,0.4301075268817204,0.35,-0.0801075268817204,0.08323781858807307,93,80,,corrected
alumni,women_death,,,,,,0.5806451612903226,0.6105072463768116,0.02986208508648902,0.058155865391547455,155,184,,corrected
staff,women_death,,,,,,0.6236559139784946,0.6958333333333333,0.07217741935483868,0.0783868458167094,93,80,,corrected
alumni,pooled,,,,,,,,-0.0118045815801777,0.041944188109127915,,,339,corrected
staff,pooled,,,,,,,,-0.003965053763441452,0.05674473146006905,,,173,corrected
