survey,item,key,n,correct_before,se_before,correct_after,se_after,diff,se_diff,p_paired,dk_before,dk_after,n_probed,unprobed_dk,converted,conversion_rate,fielded
ANES 2000,lott,anes,528,0.09090909090909091,0.012510951876435916,0.0946969696969697,0.012742307069185641,0.0037878787878787845,0.0026733571711820437,0.5,0.6742424242424242,0.5890151515151515,241,115,2,0.008298755186721992,2000-11-16 to 2000-12-21
ANES 2000,rehnquist,anes,528,0.12121212121212122,0.014203588887289273,0.125,0.014392693327244946,0.0037878787878787845,0.0026733571711820437,0.5,0.5909090909090909,0.5170454545454546,220,92,2,0.00909090909090909,2000-11-16 to 2000-12-21
ANES 2000,blair,anes,529,0.332703213610586,0.020486141992360183,0.3572778827977316,0.02083468086556516,0.02457466918714557,0.006731518116032966,2.4414062500000005e-4,0.5860113421550095,0.5122873345935728,218,92,13,0.05963302752293578,2000-11-16 to 2000-12-21
ANES 2000,reno,anes,529,0.5236294896030246,0.02171484065715854,0.5595463137996219,0.021584416266005223,0.03591682419659736,0.008090556227385364,3.814697265625e-6,0.32892249527410206,0.23629489603024575,130,44,19,0.14615384615384616,2000-11-16 to 2000-12-21
ANES 2000,average,anes,528,0.2671134788337057,,0.28413029157358083,,0.017016812739875126,,,0.5450213381451566,0.46366070917110613,,,,,2000-11-16 to 2000-12-21
ANES 2004,hastert,anes,1066,0.0975609756097561,0.009088001679627923,0.10975609756097561,0.00957392960863945,0.01219512195121951,0.003361631113710487,2.4414062500000005e-4,0.8649155722326454,0.7542213883677298,557,365,13,0.02333931777378815,2004-11-03 to 2004-12-19
ANES 2004,cheney,anes,1066,0.8311444652908068,0.011474065017162527,0.8602251407129456,0.010620427412418785,0.02908067542213888,0.005146538367307121,9.313225746154802e-10,0.14446529080675422,0.08067542213883677,112,42,31,0.2767857142857143,2004-11-03 to 2004-12-19
ANES 2004,blair,anes,1066,0.6116322701688556,0.014927537174453715,0.649155722326454,0.014616824794414595,0.03752345215759845,0.005820601528505018,1.818989403545859e-12,0.31801125703564725,0.225140712945591,220,119,40,0.18181818181818182,2004-11-03 to 2004-12-19
ANES 2004,rehnquist,anes,1066,0.2945590994371482,0.013961688277735508,0.31144465290806755,0.014183429841425609,0.016885553470919357,0.0039462181238680335,7.629394531250007e-6,0.5609756097560976,0.4521575984990619,346,252,18,0.05202312138728324,2004-11-03 to 2004-12-19
ANES 2004,average,anes,1066,0.45872420262664165,,0.4826454033771107,,0.023921200750469048,,,0.47209193245778613,0.3780487804878049,,,,,2004-11-03 to 2004-12-19
ANES 2008,pelosi,strict,2102,0.27497621313035203,0.009738842339597126,0.3439581351094196,0.010361012894616621,0.06898192197906755,0.005527520302465484,4.484155085839429e-44,0.6489058039961941,0.3496669838249286,1294,70,145,0.11205564142194745,2008-11-05 to 2008-12-30
ANES 2008,cheney,strict,2102,0.5447193149381542,0.010861996154144326,0.6726926736441484,0.010234576022969899,0.12797335870599424,0.007286321078953681,2.108439588646143e-81,0.3977164605137964,0.17887725975261656,776,60,269,0.34664948453608246,2008-11-05 to 2008-12-30
ANES 2008,brown,strict,2102,0.04091341579448145,0.004320613536670282,0.05708848715509039,0.0050604994333048135,0.016175071360608945,0.0027514755514664972,1.1641532182693502e-10,0.8577545195052331,0.5561370123691722,1546,257,34,0.02199223803363519,2008-11-05 to 2008-12-30
ANES 2008,roberts,strict,2102,0.03615604186489058,0.004071715723756749,0.04519505233111323,0.004530920283828837,0.009039010466222644,0.002064297886459459,3.814697265625e-6,0.7683158896289248,0.5266412940057088,1366,249,19,0.013909224011713031,2008-11-05 to 2008-12-30
ANES 2008,average,strict,2102,0.22419124643196955,,0.2797335870599429,,0.05554234062797335,,,0.6681731684110371,0.40283063748810655,,,,,2008-11-05 to 2008-12-30
ANES 2008,pelosi,anes_level1,2102,0.2921027592768792,0.009918285003080783,0.41817316841103713,0.010758670294433913,0.12607040913415796,0.007239831317421124,3.3735033418338206e-80,0.6489058039961941,0.3496669838249286,1294,70,265,0.20479134466769705,2008-11-05 to 2008-12-30
ANES 2008,cheney,anes_level1,2102,0.5447193149381542,0.010861996154144326,0.6726926736441484,0.010234576022969899,0.12797335870599424,0.007286321078953681,2.108439588646143e-81,0.3977164605137964,0.17887725975261656,776,60,269,0.34664948453608246,2008-11-05 to 2008-12-30
ANES 2008,brown,anes_level1,2102,0.04091341579448145,0.004320613536670282,0.05708848715509039,0.0050604994333048135,0.016175071360608945,0.0027514755514664972,1.1641532182693502e-10,0.8577545195052331,0.5561370123691722,1546,257,34,0.02199223803363519,2008-11-05 to 2008-12-30
ANES 2008,roberts,anes_level1,2102,0.09039010466222645,0.0062541987282416734,0.12226450999048526,0.007145221220697635,0.031874405328258804,0.0038315150924319867,1.3552527156068783e-20,0.7683158896289248,0.5266412940057088,1366,249,67,0.04904831625183016,2008-11-05 to 2008-12-30
