study,item,name,photo,difference,std_error,n_name,n_photo,respondents,measure
staff,sarkozy,0.7204301075268817,0.2125,-0.5079301075268817,0.06563170436226516,93,80,,lenient
alumni,napolitano,0.6467391304347826,0.25806451612903225,-0.38867461430575034,0.04991743811992336,184,155,,lenient
staff,napolitano,0.6666666666666666,0.15,-0.5166666666666666,0.06347742108680045,93,80,,lenient
alumni,reid,0.657608695652174,0.41935483870967744,-0.2382538569424965,0.053023815006252265,184,155,,lenient
staff,reid,0.6236559139784946,0.35,-0.27365591397849465,0.0736948706107548,93,80,,lenient
alumni,merkel,0.782608695652174,0.3548387096774194,-0.4277699859747546,0.04915517865632934,184,155,,lenient
staff,merkel,0.5698924731182796,0.2125,-0.3573924731182796,0.06915612231341162,93,80,,lenient
alumni,mcconnell,0.4891304347826087,0.22580645161290322,-0.2633239831697055,0.05000655717105521,184,155,,lenient
staff,mcconnell,0.3655913978494624,0.15,-0.21559139784946238,0.0643035718399171,93,80,,lenient
mturk,mcconnell,0.4577205882352941,0.34951456310679613,-0.10820602512849797,0.029990604971570606,544,515,,lenient
mturk,schumer,0.3915441176470588,0.2796116504854369,-0.11193246716162192,0.028820616431484626,544,515,,lenient
mturk,merkel,0.6047794117647058,0.4563106796116505,-0.14846873215305534,0.030378517053671863,544,515,,lenient
mturk,putin,0.9044117647058824,0.7553398058252427,-0.14907195888063962,0.022776003357604175,544,515,,lenient
mturk,roberts,0.5294117647058824,0.21359223300970873,-0.3158195316961736,0.028028612027695517,544,515,,lenient
mturk,pelosi,0.5091911764705882,0.3844660194174757,-0.12472515705311249,0.030342409860200936,544,515,,lenient
alumni,pooled,,,-0.3712342215988858,0.03256660158642678,,,339,lenient
mturk,pooled,,,-0.15970397867883646,0.02021974032927732,,,1059,lenient
staff,pooled,,,-0.37424731182795545,0.047760610086766984,,,173,lenient
alumni,sarkozy,0.043478260869565216,0.32903225806451614,0.2855539971949509,0.04075325661505105,184,155,,incorrect
staff,sarkozy,0.0967741935483871,0.2,0.10322580645161292,0.05454735307565114,93,80,,incorrect
alumni,napolitano,0.125,0.2903225806451613,0.1653225806451613,0.04399510964112068,184,155,,incorrect
staff,napolitano,0.08602150537634409,0.2625,0.17647849462365592,0.05749033523277027,93,80,,incorrect
alumni,reid,0.10869565217391304,0.22580645161290322,0.11711079943899018,0.04079932623727705,184,155,,incorrect
staff,reid,0.17204301075268819,0.2,0.027956989247311825,0.05977978856566253,93,80,,incorrect
alumni,merkel,0.04891304347826087,0.3032258064516129,0.25431276297335204,0.04032565199670203,184,155,,incorrect
staff,merkel,0.053763440860215055,0.3,0.24623655913978493,0.05666740257207167,93,80,,incorrect
alumni,mcconnell,0.15760869565217392,0.23225806451612904,0.07464936886395512,0.04339808797408735,184,155,,incorrect
staff,mcconnell,0.1827956989247312,0.275,0.09220430107526884,0.06440066294581367,93,80,,incorrect
mturk,mcconnell,0.12683823529411764,0.12233009708737864,-0.004508138206738996,0.020318519128819205,544,515,,incorrect
mturk,schumer,0.11029411764705882,0.10679611650485436,-0.003498001142204457,0.019139018275895057,544,515,,incorrect
mturk,merkel,0.05330882352941176,0.1203883495145631,0.06707952598515135,0.017290530520749695,544,515,,incorrect
mturk,putin,0.04044117647058824,0.1087378640776699,0.06829668760708166,0.016124945836928955,544,515,,incorrect
mturk,roberts,0.06066176470588235,0.1029126213592233,0.04225085665334095,0.016868701920432078,544,515,,incorrect
mturk,pelosi,0.22794117647058823,0.21553398058252426,-0.012407195888063965,0.025554713689377104,544,515,,incorrect
alumni,pooled,,,0.1793899018232872,0.02781026560221964,,,339,incorrect
mturk,pooled,,,0.026202289168089764,0.011413017445859541,,,1059,incorrect
staff,pooled,,,0.12922043010752568,0.04176524841615956,,,173,incorrect
alumni,sarkozy,0.10869565217391304,0.36129032258064514,0.2525946704067321,0.04503157771312777,184,155,,dk
staff,sarkozy,0.1827956989247312,0.5875,0.40470430107526884,0.06849345673645331,93,80,,dk
alumni,napolitano,0.22826086956521738,0.45161290322580644,0.22335203366058906,0.050702904050309486,184,155,,dk
staff,napolitano,0.24731182795698925,0.5875,0.3401881720430108,0.07135122778378925,93,80,,dk
alumni,reid,0.23369565217391305,0.3548387096774194,0.12114305750350632,0.0496501448622285,184,155,,dk
staff,reid,0.20430107526881722,0.45,0.2456989247311828,0.0699992231334289,93,80,,dk
alumni,merkel,0.16847826086956522,0.3419354838709677,0.1734572230014025,0.04718768562172774,184,155,,dk
staff,merkel,0.3763440860215054,0.4875,0.11115591397849461,0.07558945847680687,93,80,,dk
alumni,mcconnell,0.3532608695652174,0.5419354838709678,0.1886746143057504,0.05348284045305023,184,155,,dk
staff,mcconnell,0.45161290322580644,0.575,0.12338709677419352,0.07606113791325896,93,80,,dk
mturk,mcconnell,0.41544117647058826,0.5281553398058253,0.11271416333523704,0.030529924182917178,544,515,,dk
mturk,schumer,0.49816176470588236,0.6135922330097088,0.11543046830382642,0.030359129820562415,544,515,,dk
mturk,merkel,0.34191176470588236,0.42330097087378643,0.08138920616790407,0.029821399658545997,544,515,,dk
mturk,putin,0.05514705882352941,0.13592233009708737,0.08077527127355796,0.018012668120917612,544,515,,dk
mturk,roberts,0.4099264705882353,0.683495145631068,0.27356867504283267,0.029433623971220287,544,515,,dk
mturk,pelosi,0.26286764705882354,0.4,0.13713235294117648,0.028701457641634252,544,515,,dk
alumni,pooled,,,0.19184431977559396,0.03678344356855798,,,339,dk
mturk,pooled,,,0.1335016895107467,0.020564145317107454,,,1059,dk
staff,pooled,,,0.2450268817204292,0.05688688907544028,,,173,dk
