study,item,name,photo,difference,std_error,n_name,n_photo,respondents,measure
alumni,sarkozy,0.7391304347826086,0.27741935483870966,-0.461711079943899,0.04853161039251401,184,155,,correct
staff,sarkozy,0.6989247311827957,0.1875,-0.5114247311827957,0.06492821504381631,93,80,,correct
alumni,napolitano,0.47282608695652173,0.17419354838709677,-0.29863253856942495,0.04791844165649669,184,155,,correct
staff,napolitano,0.4946236559139785,0.1,-0.3946236559139785,0.062099256236054605,93,80,,correct
alumni,reid,0.42391304347826086,0.1935483870967742,-0.23036465638148668,0.04845657554050709,184,155,,correct
staff,reid,0.3118279569892473,0.1875,-0.12432795698924731,0.065275691003678,93,80,,correct
alumni,merkel,0.6413043478260869,0.3225806451612903,-0.3187237026647966,0.0517299508808535,184,155,,correct
staff,merkel,0.43010752688172044,0.1625,-0.2676075268817204,0.06623442936399762,93,80,,correct
alumni,mcconnell,0.30978260869565216,0.07741935483870968,-0.23236325385694248,0.04040053679995485,184,155,,correct
staff,mcconnell,0.12903225806451613,0.075,-0.05403225806451613,0.045822682071384256,93,80,,correct
mturk,mcconnell,0.2610294117647059,0.2407766990291262,-0.020252712735579687,0.026662412480901378,544,515,,correct
mturk,schumer,0.16727941176470587,0.17281553398058253,0.005536122215876654,0.02312240731894115,544,515,,correct
mturk,merkel,0.5238970588235294,0.4077669902912621,-0.11613006853226732,0.03048252519946582,544,515,,correct
mturk,putin,0.8014705882352942,0.6524271844660194,-0.14904340376927472,0.027096295979331313,544,515,,correct
mturk,roberts,0.40441176470588236,0.1766990291262136,-0.22771273557966876,0.026955634670860706,544,515,,correct
mturk,pelosi,0.27941176470588236,0.23883495145631067,-0.040576813249571686,0.02691609091983069,544,515,,correct
alumni,pooled,,,-0.30835904628330874,0.030741064539072865,,,339,correct
mturk,pooled,,,-0.09136326860841343,0.01894075017984149,,,1059,correct
staff,pooled,,,-0.2704032258064478,0.041346799638330434,,,173,correct
alumni,sarkozy,0.8478260869565217,0.3096774193548387,-0.538148667601683,0.04575123371356456,184,155,,lenient
