study,item,cue,code,answer,responses
mturk,pelosi,name,correct,"minority leader in the house of representatives and she who said ""we have to pass the bill before we can know what's in it"" *facepalm*",1
mturk,pelosi,name,correct,minority leader in the house of reps.,1
mturk,pelosi,name,correct,minority leader in the u.s. house of representatives,1
mturk,pelosi,name,correct,minority leader of house,1
mturk,pelosi,name,correct,minority leader of the house - democrat,1
mturk,pelosi,name,correct,"minority leader of the house of representatives,",1
mturk,pelosi,name,correct,minority leader of the house of reps. democrat,1
mturk,pelosi,name,correct,minority leader of the house representative,1
mturk,pelosi,name,correct,"minority leader, hor",1
mturk,pelosi,name,correct,"minority leader, house of representative",1
mturk,pelosi,name,correct,minority speaker of house,1
mturk,pelosi,name,correct,minority speaker of the house,1
mturk,pelosi,name,correct,ranking member of the house democrats,1
mturk,pelosi,name,correct,representative (d) - (current or former) house minority leader,1
mturk,pelosi,name,correct,republican leader of the house,1
mturk,pelosi,name,correct,speaker of house minority leader,1
mturk,pelosi,name,correct,u.s. house minority leader,1
mturk,pelosi,name,correct,us minority leader house of representatives,1
mturk,pelosi,photo,correct,congress member/minority leader,1
mturk,pelosi,photo,correct,democrat leader for the congress,1
mturk,pelosi,photo,correct,democratic house leader,1
mturk,pelosi,photo,correct,e minority leader of the house of representatives,1
mturk,pelosi,photo,correct,head crazy woman minority house leader,1
mturk,pelosi,photo,correct,house democratic leader nancy pelosi,1
mturk,pelosi,photo,correct,house democratic leader.,1
mturk,pelosi,photo,correct,house democratic minority leader (and former speaker of the house),1
mturk,pelosi,photo,correct,house minoirty leader,1
mturk,pelosi,photo,correct,house minority ldr,1
mturk,pelosi,photo,correct,house minority leader (and former speaker),1
mturk,pelosi,photo,correct,house minority leader (d),1
mturk,pelosi,photo,correct,house minority leader (democrat),1
mturk,pelosi,photo,correct,house minority leader pelosi,1
mturk,pelosi,photo,correct,leader of democrat opposition in us house of representatives,1
mturk,pelosi,photo,correct,leader of house democrats.,1
mturk,pelosi,photo,correct,minority house leader.,1
mturk,pelosi,photo,correct,minority leader - us house of representatives,1
mturk,pelosi,photo,correct,minority leader house of representatives,1
mturk,pelosi,photo,correct,minority leader in congress,1
mturk,pelosi,photo,correct,minority leader in house,1
mturk,pelosi,photo,correct,minority leader in house of reps,1
mturk,pelosi,photo,correct,minority leader of house of rep.,1
mturk,pelosi,photo,correct,minority leader of house of representatives,1
mturk,pelosi,photo,correct,"minority leader of the house of representatives,",1
mturk,pelosi,photo,correct,minority leader of the house of reps.,1
mturk,pelosi,photo,correct,minority leader of the house of us congress,1
mturk,pelosi,photo,correct,minority leader of the united states house of representatives,1
mturk,pelosi,photo,correct,minority leader of the us house of representatives,1
mturk,pelosi,photo,correct,minority leader of the usa house of representatives,1
mturk,pelosi,photo,correct,"minority leader, house",1
mturk,pelosi,photo,correct,"minority leader, us house of representatives",1
mturk,pelosi,photo,correct,minority speaker of house,1
mturk,pelosi,photo,correct,minorty leader in congress,1
mturk,pelosi,photo,correct,nancy pelosi - house minority leader - needs to dial back the plastic surgery - she's been looking kinda scary lately,1
mturk,pelosi,photo,correct,nancy pelosi minority leader of house of representatives,1
mturk,pelosi,photo,correct,"nancy pelosi, dem head of minority house of representatives",1
mturk,pelosi,photo,correct,"nancy pelosi, democratic minority leader in house of rep.",1
mturk,pelosi,photo,correct,pelosi house minority leader,1
mturk,pelosi,photo,correct,"pelosi i think, so minority leader in house.",1
mturk,pelosi,photo,correct,"pelosi, minority speaker of house",1
mturk,pelosi,photo,correct,"senate minority leader, house.",1
mturk,pelosi,photo,correct,u.s. house minority leader,1
mturk,pelosi,photo,correct,u.s. house of representatives minority leader,1
mturk,pelosi,photo,correct,us house of rep minority leader,1
mturk,pelosi,photo,dk,,154
mturk,pelosi,name,dk,,123
mturk,pelosi,photo,dk,don't know,16
mturk,pelosi,photo,dk,i don't know,9
mturk,pelosi,photo,dk,dont know,8
mturk,pelosi,name,dk,don't know,5
mturk,pelosi,name,dk,i don't know,4
mturk,pelosi,photo,dk,i dont know,4
mturk,pelosi,name,dk,dont know,3
mturk,pelosi,name,dk,i dont know,2
mturk,pelosi,name,dk,idk,2
mturk,pelosi,photo,dk,idk,2
mturk,pelosi,photo,dk,no idea,2
mturk,pelosi,photo,dk,not sure,2
mturk,pelosi,name,dk,i don't know what her title is theses days,1
mturk,pelosi,name,dk,na,1
mturk,pelosi,name,dk,not sure,1
mturk,pelosi,name,dk,not sure what post she holds presently,1
mturk,pelosi,photo,dk,can't remember the committee,1
mturk,pelosi,photo,dk,cannot remember,1
mturk,pelosi,photo,dk,"i know it's nancy pelosi, i don't know her current position",1
mturk,pelosi,photo,dk,know who she is but can't recall exact position,1
mturk,pelosi,photo,dk,looks familiar but not sure,1
mturk,pelosi,photo,dk,n/a,1
mturk,pelosi,photo,dk,nancy someone but can't remember position,1
mturk,pelosi,photo,dk,no clue...,1
mturk,pelosi,photo,dk,this is nancy pelosi but i don't know what position she holds.,1
mturk,pelosi,photo,incorrect,senate minority leader,19
mturk,pelosi,name,incorrect,senator,16
mturk,pelosi,photo,incorrect,senator,12
mturk,pelosi,name,incorrect,senate minority leader,11
mturk,pelosi,name,incorrect,democratic senator,7
mturk,pelosi,photo,incorrect,nancy pelosi,7
mturk,pelosi,name,incorrect,democrat,6
mturk,pelosi,name,incorrect,democrat senator,4
mturk,pelosi,name,incorrect,democratic leader,4
mturk,pelosi,name,incorrect,democratic majority leader,3
mturk,pelosi,name,incorrect,democratic party leader,3
mturk,pelosi,photo,incorrect,secretary of education,3
mturk,pelosi,name,incorrect,politician,2
mturk,pelosi,name,incorrect,secretary of state,2
mturk,pelosi,name,incorrect,senetor,2
mturk,pelosi,name,incorrect,supreme court justice,2
mturk,pelosi,photo,incorrect,minority whip,2
mturk,pelosi,photo,incorrect,nancy peloci,2
mturk,pelosi,photo,incorrect,politician,2
mturk,pelosi,photo,incorrect,senate,2
mturk,pelosi,name,incorrect,5,1
mturk,pelosi,name,incorrect,6,1
mturk,pelosi,name,incorrect,"another democratic leader, she's head of the democratic party.",1
mturk,pelosi,name,incorrect,california senator,1
mturk,pelosi,name,incorrect,chair person,1
mturk,pelosi,name,incorrect,cheif,1
mturk,pelosi,name,incorrect,chief justice,1
mturk,pelosi,name,incorrect,cunt,1
mturk,pelosi,name,incorrect,d - senator,1
mturk,pelosi,name,incorrect,dem leader,1
mturk,pelosi,name,incorrect,demcratic nut job senator,1
mturk,pelosi,name,incorrect,demicratic senate majority leader,1
mturk,pelosi,name,incorrect,democrat - leader,1
mturk,pelosi,name,incorrect,democrat from california,1
mturk,pelosi,name,incorrect,democrat lady,1
mturk,pelosi,name,incorrect,democrat politican and village idiot,1
mturk,pelosi,name,incorrect,democrat senator from california,1
mturk,pelosi,name,incorrect,democratic chair,1
mturk,pelosi,name,incorrect,democratic minority senate leader,1
mturk,pelosi,name,incorrect,democratic party person,1
mturk,pelosi,name,incorrect,democratic senate leader and former senate majority leader,1
mturk,pelosi,name,incorrect,democratic whip,1
mturk,pelosi,name,incorrect,don;t know,1
mturk,pelosi,name,incorrect,dumb cunt,1
mturk,pelosi,name,incorrect,former senate democrat leader,1
mturk,pelosi,name,incorrect,former senate minority leader,1
mturk,pelosi,name,incorrect,frankenstein's monster,1
mturk,pelosi,name,incorrect,head of education,1
mturk,pelosi,name,incorrect,in charge of education,1
mturk,pelosi,name,incorrect,in the senate,1
mturk,pelosi,name,incorrect,just one step below putin. but works in the us.,1
mturk,pelosi,name,incorrect,liberal,1
mturk,pelosi,name,incorrect,minority democratic leader,1
mturk,pelosi,name,incorrect,minority leader of senate,1
mturk,pelosi,name,incorrect,minority leader of us senate,1
mturk,pelosi,name,incorrect,minority party leader (dem),1
mturk,pelosi,name,incorrect,minority senate leader,1
mturk,pelosi,name,incorrect,minority whip,1
mturk,pelosi,name,incorrect,mlohor,1
mturk,pelosi,name,incorrect,never heard of her,1
mturk,pelosi,name,incorrect,news anchor,1
mturk,pelosi,name,incorrect,"oh, highest-ranking dem, currently?",1
mturk,pelosi,name,incorrect,politican,1
mturk,pelosi,name,incorrect,politics,1
mturk,pelosi,name,incorrect,secretary,1
mturk,pelosi,name,incorrect,senate,1
mturk,pelosi,name,incorrect,senate minor leader,1
mturk,pelosi,name,incorrect,senate minority,1
mturk,pelosi,name,incorrect,senate minority leader (?),1
mturk,pelosi,name,incorrect,senate minority speaker,1
mturk,pelosi,name,incorrect,senator from california,1
mturk,pelosi,name,incorrect,senator from san francisco,1
mturk,pelosi,name,incorrect,senator?,1
mturk,pelosi,name,incorrect,she had a position in goverment under obama,1
mturk,pelosi,name,incorrect,some idiot democrat,1
mturk,pelosi,name,incorrect,something to do with trump,1
mturk,pelosi,name,incorrect,supporter of emissions reform,1
mturk,pelosi,name,incorrect,supreme court justice?,1
mturk,pelosi,name,incorrect,"us politician, unknown position",1
mturk,pelosi,name,incorrect,us senate,1
mturk,pelosi,name,incorrect,vice president,1
mturk,pelosi,name,incorrect,walking prochoice advertisement,1
mturk,pelosi,photo,incorrect,bitch from hell,1
mturk,pelosi,photo,incorrect,california senator,1
mturk,pelosi,photo,incorrect,crappy peson,1
mturk,pelosi,photo,incorrect,crazy pelosi,1
mturk,pelosi,photo,incorrect,democrat chair holder in the senate,1
mturk,pelosi,photo,incorrect,democrat leader,1
mturk,pelosi,photo,incorrect,democrat majority leader,1
mturk,pelosi,photo,incorrect,democrat nancy pelosi,1
mturk,pelosi,photo,incorrect,"democrat senator from ca, career thief, one of (((them)))",1
mturk,pelosi,photo,incorrect,democratic majority leader,1
mturk,pelosi,photo,incorrect,democratic majority leader in the senate,1
mturk,pelosi,photo,incorrect,democratic party,1
mturk,pelosi,photo,incorrect,democratic politician,1
mturk,pelosi,photo,incorrect,democratic senator,1
mturk,pelosi,photo,incorrect,dept of education ??,1
mturk,pelosi,photo,incorrect,don' know,1
mturk,pelosi,photo,incorrect,don't lknow,1
mturk,pelosi,photo,incorrect,"don,t know",1
mturk,pelosi,photo,incorrect,education director,1
mturk,pelosi,photo,incorrect,healthcare,1
mturk,pelosi,photo,incorrect,hilary clinton,1
mturk,pelosi,photo,incorrect,johny,1
mturk,pelosi,photo,incorrect,judge,1
mturk,pelosi,photo,incorrect,lawyer,1
mturk,pelosi,photo,incorrect,leader of the democratic party,1
mturk,pelosi,photo,incorrect,liberal,1
mturk,pelosi,photo,incorrect,minority leader of the senate,1
mturk,pelosi,photo,incorrect,minority senate leader,1
mturk,pelosi,photo,incorrect,minority whip?,1
mturk,pelosi,photo,incorrect,minory leader in the senate,1
mturk,pelosi,photo,incorrect,"nancy pelosi ""you ahve to pass the bill to see what's in it"" goofball exgtraordinaire who is visiting a land called senility.",1
mturk,pelosi,photo,incorrect,nancy pelosi i think?,1
mturk,pelosi,photo,incorrect,nancy pelosi j,1
mturk,pelosi,photo,incorrect,"nancy pelosi, democrat",1
mturk,pelosi,photo,incorrect,"nancy pelosi, us senator (as evil as they come)",1
mturk,pelosi,photo,incorrect,nancy pelosi-democratic leader in the senate,1
mturk,pelosi,photo,incorrect,nancy pelosi-illuminati,1
mturk,pelosi,photo,incorrect,nancy pelosi/ca senator,1
mturk,pelosi,photo,incorrect,nancy pelosit california senetor,1
mturk,pelosi,photo,incorrect,"nancy peolosi, of the democratic party",1
mturk,pelosi,photo,incorrect,nancy polocy,1
mturk,pelosi,photo,incorrect,nancy polossi,1
mturk,pelosi,photo,incorrect,nancy regosi,1
mturk,pelosi,photo,incorrect,pelosi,1
mturk,pelosi,photo,incorrect,political,1
mturk,pelosi,photo,incorrect,reprisentative,1
mturk,pelosi,photo,incorrect,secretary,1
mturk,pelosi,photo,incorrect,secretary of education?,1
mturk,pelosi,photo,incorrect,secretary of state,1
mturk,pelosi,photo,incorrect,"secretary of state,",1
mturk,pelosi,photo,incorrect,senate leader,1
mturk,pelosi,photo,incorrect,"senate leader, democratic side.",1
mturk,pelosi,photo,incorrect,senator for california,1
mturk,pelosi,photo,incorrect,senator from california,1
mturk,pelosi,photo,incorrect,sentate minority leader,1
mturk,pelosi,photo,incorrect,she wants a path to citizenship and to restrict carbon emissions,1
mturk,pelosi,photo,incorrect,some democrat that hates everything,1
mturk,pelosi,photo,incorrect,supreme court justice,1
mturk,pelosi,photo,incorrect,that crazy chick from california,1
mturk,pelosi,photo,incorrect,traitor to the united states,1
mturk,pelosi,photo,incorrect,troublemaker,1
mturk,pelosi,photo,incorrect,us senator,1
mturk,pelosi,name,partial,minority leader,18
mturk,pelosi,photo,partial,minority leader,11
mturk,pelosi,name,partial,speaker of the house,10
mturk,pelosi,photo,partial,speaker of the house,9
mturk,pelosi,name,partial,former speaker of the house,8
mturk,pelosi,name,partial,congresswoman,7
mturk,pelosi,name,partial,congress,6
mturk,pelosi,photo,partial,congresswoman,6
mturk,pelosi,name,partial,house speaker,5
mturk,pelosi,name,partial,house of representatives,4
mturk,pelosi,photo,partial,representative,4
mturk,pelosi,photo,partial,speaker,4
mturk,pelosi,name,partial,democratic minority leader,3
mturk,pelosi,name,partial,representative,3
mturk,pelosi,photo,partial,congress,3
mturk,pelosi,photo,partial,house speaker,3
mturk,pelosi,name,partial,democratic representative,2
mturk,pelosi,name,partial,former speaker of the house of representatives,2
mturk,pelosi,name,partial,house of reps,2
mturk,pelosi,name,partial,speaker of house,2
mturk,pelosi,name,partial,speaker of the house of representatives,2
mturk,pelosi,photo,partial,former speaker of the house,2
mturk,pelosi,photo,partial,house majority leader,2
mturk,pelosi,name,partial,"ca representative, minority leader",1
mturk,pelosi,name,partial,congressional democrat (house majority leader),1
mturk,pelosi,name,partial,congresswoman (senator?),1
mturk,pelosi,name,partial,dem. speaker of the house,1
mturk,pelosi,name,partial,democrat chair of house,1
mturk,pelosi,name,partial,democrat minority leader,1
mturk,pelosi,name,partial,democrat representative leader,1
mturk,pelosi,name,partial,democrat speaker,1
mturk,pelosi,name,partial,democrat speaker of the house,1
mturk,pelosi,name,partial,"democrat, former speaker of the house",1
mturk,pelosi,name,partial,democratic congressional representative,1
mturk,pelosi,name,partial,democratic congresswoman,1
mturk,pelosi,name,partial,"democratic congresswoman, former speaker of house",1
mturk,pelosi,name,partial,"democratic member of the house of representatives, and all-around idiot.",1
mturk,pelosi,name,partial,"democratic minority leader, not really sure of the exact title",1
mturk,pelosi,name,partial,democratic speaker,1
mturk,pelosi,name,partial,democratic speaker of the house,1
mturk,pelosi,name,partial,ex-speaker of the house,1
mturk,pelosi,name,partial,formar speaker of the house,1
mturk,pelosi,name,partial,former speaker of house,1
mturk,pelosi,name,partial,former speaker of the house from california,1
mturk,pelosi,name,partial,head of democrats house,1
mturk,pelosi,name,partial,head of house of representitives,1
mturk,pelosi,name,partial,house espeaker,1
mturk,pelosi,name,partial,house majority leader,1
mturk,pelosi,name,partial,house of representative,1
mturk,pelosi,name,partial,house of representatives member,1
mturk,pelosi,name,partial,i think she speaks for the democrats in congress,1
mturk,pelosi,name,partial,in the house of representatives,1
mturk,pelosi,name,partial,majority leader of congress,1
mturk,pelosi,name,partial,member of house of representatives,1
mturk,pelosi,name,partial,member of the house of representatives,1
mturk,pelosi,name,partial,minority leader (democrat),1
mturk,pelosi,name,partial,minority leader (i think),1
mturk,pelosi,name,partial,minority leader in ca,1
mturk,pelosi,name,partial,minority leader in democrat,1
mturk,pelosi,name,partial,"minority leader, democrat representative",1
mturk,pelosi,name,partial,minority speaker,1
mturk,pelosi,name,partial,previous speaker of the house,1
mturk,pelosi,name,partial,secretary in the white house,1
mturk,pelosi,name,partial,speaker for the democratic party,1
mturk,pelosi,name,partial,speaker of the hosue,1
mturk,pelosi,name,partial,speaker of the house for the democrats,1
mturk,pelosi,name,partial,speaker of the house of reps.,1
mturk,pelosi,name,partial,speaker of the house?,1
mturk,pelosi,name,partial,speaker of us representatives,1
mturk,pelosi,name,partial,us congresswoman with dementia,1
mturk,pelosi,name,partial,us representative - democrat,1
mturk,pelosi,name,partial,used to be the speaking of the house,1
mturk,pelosi,name,partial,was speaker of the house under obama,1
mturk,pelosi,name,partial,"worst congressthing ever, california",1
mturk,pelosi,photo,partial,congress woman,1
mturk,pelosi,photo,partial,congressional democrat,1
mturk,pelosi,photo,partial,congressman,1
mturk,pelosi,photo,partial,democrat minority leader,1
mturk,pelosi,photo,partial,democrat speaker nancy polosi,1
mturk,pelosi,photo,partial,democratic congress person,1
mturk,pelosi,photo,partial,democratic speaker,1
mturk,pelosi,photo,partial,former speaker of the house of representatives,1
mturk,pelosi,photo,partial,frmr house speaker,1
mturk,pelosi,photo,partial,house minority whip,1
mturk,pelosi,photo,partial,house of representatives,1
mturk,pelosi,photo,partial,house of representives,1
mturk,pelosi,photo,partial,house person,1
mturk,pelosi,photo,partial,house representative from california,1
mturk,pelosi,photo,partial,member of the house,1
mturk,pelosi,photo,partial,minority leader nancy pelosi,1
mturk,pelosi,photo,partial,minority speaker,1
mturk,pelosi,photo,partial,minorty speaker,1
mturk,pelosi,photo,partial,nancy peloisi rep minority leader,1
mturk,pelosi,photo,partial,nancy pelosi former speaker of the house,1
mturk,pelosi,photo,partial,nancy pelosi is the speaker of the house (democratic,1
mturk,pelosi,photo,partial,nancy pelosi/minority leader,1
mturk,pelosi,photo,partial,nansi pelosi dem speaker,1
mturk,pelosi,photo,partial,opposition speaker,1
mturk,pelosi,photo,partial,speaker for minority party,1
mturk,pelosi,photo,partial,speaker of house,1
mturk,pelosi,photo,partial,speaker of the house pelosi,1
mturk,pelosi,photo,partial,state representative (ma),1
mturk,pelosi,photo,partial,u.s. congress.,1
mturk,pelosi,photo,partial,us congresswoman,1
mturk,pelosi,photo,partial,was speaker of house,1
mturk,putin,name,correct,russian president,156
mturk,putin,photo,correct,president of russia,145
mturk,putin,name,correct,president of russia,123
mturk,putin,photo,correct,russian president,74
mturk,putin,name,correct,leader of russia,36
mturk,putin,photo,correct,leader of russia,26
mturk,putin,name,correct,russian leader,25
mturk,putin,name,correct,russian dictator,9
mturk,putin,photo,correct,head of russia,8
mturk,putin,name,correct,head of russia,6
mturk,putin,photo,correct,russian leader,6
mturk,putin,name,correct,russia president,5
mturk,putin,photo,correct,president russia,5
mturk,putin,name,correct,president of the russian federation,4
mturk,putin,name,correct,russia's president,4
mturk,putin,photo,correct,russia president,4
mturk,putin,name,correct,president russia,3
mturk,putin,photo,correct,russia's president,3
mturk,putin,photo,correct,russian dictator,3
mturk,putin,name,correct,president of russian federation,2
mturk,putin,name,correct,russia's leader,2
mturk,putin,name,correct,russin president,2
mturk,putin,photo,correct,president of russia.,2
mturk,putin,photo,correct,president of russian federation,2
mturk,putin,photo,correct,president of the russian federation,2
mturk,putin,photo,correct,putin - leader of russia,2
mturk,putin,photo,correct,putin leader of russia,2
mturk,putin,photo,correct,"putin, president of russia",2
mturk,putin,photo,correct,russian president putin,2
mturk,putin,name,correct,"""president"" of russia",1
mturk,putin,name,correct,dictator of russia,1
mturk,putin,name,correct,"evil dictator, russia",1
mturk,putin,name,correct,evil russian leader,1
mturk,putin,name,correct,former kgb agent who leads russia,1
mturk,putin,name,correct,he is president of russia,1
mturk,putin,name,correct,he's the leader of russia,1
mturk,putin,name,correct,he's the russian leader,1
mturk,putin,name,correct,head of russian,1
mturk,putin,name,correct,head or russia,1
mturk,putin,name,correct,in charge of russia,1
mturk,putin,name,correct,old russion president,1
mturk,putin,name,correct,overlord of russia,1
mturk,putin,name,correct,political head of state in russia,1
mturk,putin,name,correct,preesident of russia,1
mturk,putin,name,correct,preisent of russia,1
mturk,putin,name,correct,pres. of russia,1
mturk,putin,name,correct,president (or is it prime minister) russia,1
mturk,putin,name,correct,president (or leader) of russia,1
mturk,putin,name,correct,president -russia,1
mturk,putin,name,correct,president of russia - puppetmaster of donald trump,1
mturk,putin,name,correct,president of russia and supreme leader,1
mturk,putin,name,correct,president of russian,1
mturk,putin,name,correct,president of russian federatino,1
mturk,putin,name,correct,president of the russia,1
mturk,putin,name,correct,"president of the russian federation,",1
mturk,putin,name,correct,president/leader of russia,1
mturk,putin,name,correct,president/prime minister and all around jagoff of russia,1
mturk,putin,name,correct,president/prime minister of russia,1
mturk,putin,name,correct,ruler of russia,1
mturk,putin,name,correct,rusian president,1
mturk,putin,name,correct,russia chief.,1
mturk,putin,name,correct,russia leader,1
mturk,putin,name,correct,russia presdent,1
mturk,putin,name,correct,russia prez.,1
mturk,putin,name,correct,russia primier president,1
mturk,putin,name,correct,russia's dictator,1
mturk,putin,name,correct,russia's pres,1
mturk,putin,name,correct,"russian ""president""",1
mturk,putin,name,correct,russian autocrat,1
mturk,putin,name,correct,russian czar,1
mturk,putin,name,correct,russian dick head,1
mturk,putin,name,correct,russian leader (president),1
mturk,putin,name,correct,russian leader/ dictator?,1
mturk,putin,name,correct,russian leader/dictator,1
mturk,putin,name,correct,russian oligarch and presidont,1
mturk,putin,name,correct,russian overlord,1
mturk,putin,name,correct,russian president or premier,1
mturk,putin,name,correct,russian president(dictator more like it),1
mturk,putin,name,correct,russian president.,1
mturk,putin,name,correct,russian president/czar/leader,1
mturk,putin,name,correct,russian presidents,1
mturk,putin,name,correct,russian presifdent,1
mturk,putin,name,correct,russian prez,1
mturk,putin,name,correct,russian ruler,1
mturk,putin,name,correct,russioan president,1
mturk,putin,name,correct,russion president,1
mturk,putin,name,correct,supreme overlord of russia,1
mturk,putin,name,correct,the head creep of russia,1
mturk,putin,photo,correct,"""president"" of russia",1
mturk,putin,photo,correct,"criminal, i mean, president of russia",1
mturk,putin,photo,correct,dictator (prime minister?) of russia,1
mturk,putin,photo,correct,dictator of russia,1
mturk,putin,photo,correct,dictator on russia,1
mturk,putin,photo,correct,emperor of russia,1
mturk,putin,photo,correct,neo-fascist dictator of russia and puppermaster of traitor trump,1
mturk,putin,photo,correct,preisdent of russia,1
mturk,putin,photo,correct,president (or whatever) of russia,1
mturk,putin,photo,correct,president of russia - vladimir putin,1
mturk,putin,photo,correct,president of russia i think,1
mturk,putin,photo,correct,"president of russia, and wannabe czar",1
mturk,putin,photo,correct,president of russia?,1
mturk,putin,photo,correct,president of russia? i think this is putin but i'm not sure,1
mturk,putin,photo,correct,president of ruussia,1
mturk,putin,photo,correct,president ot russia,1
mturk,putin,photo,correct,president/dictator of russia,1
mturk,putin,photo,correct,prime minister or president of russia,1
mturk,putin,photo,correct,putin russian leader pm,1
mturk,putin,photo,correct,putin russian president,1
mturk,putin,photo,correct,"putin, president of russia and donald trump's friend.",1
mturk,putin,photo,correct,"putin, russian leader",1
mturk,putin,photo,correct,putin/pres. of russia,1
mturk,putin,photo,correct,ruler of russia,1
mturk,putin,photo,correct,rusian president,1
mturk,putin,photo,correct,russain prez,1
mturk,putin,photo,correct,russian leader (president),1
mturk,putin,photo,correct,russian overlord,1
mturk,putin,photo,correct,russian presedant putin,1
mturk,putin,photo,correct,russian presedent,1
mturk,putin,photo,correct,russian presidant,1
mturk,putin,photo,correct,russian president and pretty much world puppet master with his useful idiots in the us government and eastern bloc states.,1
mturk,putin,photo,correct,russian president vladimir putin,1
mturk,putin,photo,correct,russian president vladmir putin,1
mturk,putin,photo,correct,"russian president, vlad putin",1
mturk,putin,photo,correct,russian president/trumps bff,1
mturk,putin,photo,correct,russier leader,1
mturk,putin,photo,correct,supposedly president of russia,1
mturk,putin,photo,correct,supreme ruler of russia.,1
mturk,putin,photo,correct,"trump's partner....i mean, he leads russia with an iron boot.",1
mturk,putin,photo,correct,valdimer putin leader of russia,1
mturk,putin,photo,correct,vlad putin pres of russia,1
mturk,putin,photo,correct,vladimir putin - russian head honcho and guy who likes to ride horses with his shirt off,1
mturk,putin,photo,correct,vladimir putin is the president of russia,1
mturk,putin,photo,correct,vladimir putin russian president,1
mturk,putin,photo,correct,"vladimir putin, political leader of russia (i do not know his precise political title, but quasi-dictator is a fitting one)",1
mturk,putin,photo,correct,"vladimir putin, president russia",1
mturk,putin,photo,correct,vladimir putin-leader of russia,1
mturk,putin,photo,dk,,51
mturk,putin,name,dk,,26
mturk,putin,photo,dk,don't know,7
mturk,putin,photo,dk,dont know,6
mturk,putin,name,dk,don't know,2
mturk,putin,photo,dk,i don't know,2
mturk,putin,name,dk,dont know,1
mturk,putin,name,dk,na,1
mturk,putin,photo,dk,i dont know,1
mturk,putin,photo,dk,idk,1
mturk,putin,photo,dk,know who he is but can't recall exact position,1
mturk,putin,photo,dk,not sure,1
mturk,putin,photo,incorrect,president,12
mturk,putin,photo,incorrect,putin,6
mturk,putin,name,incorrect,president,5
mturk,putin,photo,incorrect,vladmir putin,4
mturk,putin,name,incorrect,prime minister,3
mturk,putin,name,incorrect,dictator,2
mturk,putin,photo,incorrect,attorney general,2
mturk,putin,photo,incorrect,lawyer,2
mturk,putin,photo,incorrect,valdamir putin,2
mturk,putin,photo,incorrect,vice president,2
mturk,putin,photo,incorrect,vladamir putin,2
mturk,putin,photo,incorrect,vladimir putin,2
mturk,putin,name,incorrect,3,1
mturk,putin,name,incorrect,6,1
mturk,putin,name,incorrect,ambassador,1
mturk,putin,name,incorrect,communist,1
mturk,putin,name,incorrect,evil dictator,1
mturk,putin,name,incorrect,germany leader,1
mturk,putin,name,incorrect,hard liner,1
mturk,putin,name,incorrect,i think a governor,1
mturk,putin,name,incorrect,leader,1
mturk,putin,name,incorrect,politics,1
mturk,putin,name,incorrect,prime minister/dictator,1
mturk,putin,name,incorrect,ruler,1
mturk,putin,photo,incorrect,"""president""",1
mturk,putin,photo,incorrect,congress,1
mturk,putin,photo,incorrect,corporate exec,1
mturk,putin,photo,incorrect,dictator,1
mturk,putin,photo,incorrect,dictatorial,1
mturk,putin,photo,incorrect,"don,t know",1
mturk,putin,photo,incorrect,hadge,1
mturk,putin,photo,incorrect,movie star,1
mturk,putin,photo,incorrect,politician,1
mturk,putin,photo,incorrect,preident,1
mturk,putin,photo,incorrect,prime minister,1
mturk,putin,photo,incorrect,putan,1
mturk,putin,photo,incorrect,puttin,1
mturk,putin,photo,incorrect,sales,1
mturk,putin,photo,incorrect,senator,1
mturk,putin,photo,incorrect,speaker of the house.,1
mturk,putin,photo,incorrect,spicer?,1
mturk,putin,photo,incorrect,trump's boss.,1
mturk,putin,photo,incorrect,trump's puppeteer,1
mturk,putin,photo,incorrect,vladamir putin (thanks snl),1
mturk,putin,photo,incorrect,vp,1
mturk,putin,photo,incorrect,vp of the us,1
mturk,putin,name,partial,russian prime minister,14
mturk,putin,photo,partial,prime minister of russia,11
mturk,putin,name,partial,prime minister of russia,7
mturk,putin,name,partial,russia,7
mturk,putin,photo,partial,russian prime minister,7
mturk,putin,name,partial,russia's prime minister,4
mturk,putin,photo,partial,russian premier,4
mturk,putin,name,partial,pm of russia,3
mturk,putin,photo,partial,premier of russia,3
mturk,putin,name,partial,russian,2
mturk,putin,name,partial,russian ambassador,2
mturk,putin,name,partial,russian pm,2
mturk,putin,name,partial,russian politician,2
mturk,putin,photo,partial,pm of russia,2
mturk,putin,photo,partial,putin/russia,2
mturk,putin,photo,partial,russia,2
mturk,putin,name,partial,head of the russian federation (prime minister),1
mturk,putin,name,partial,pm russia,1
mturk,putin,name,partial,premier of russia,1
mturk,putin,name,partial,president of ussr,1
mturk,putin,name,partial,prime minister in russia,1
mturk,putin,name,partial,prime minister russia.,1
mturk,putin,name,partial,prime minter of russia,1
mturk,putin,name,partial,russia' primeminister,1
mturk,putin,name,partial,russian bastard,1
mturk,putin,name,partial,russian chancelor,1
mturk,putin,name,partial,russian guy,1
mturk,putin,name,partial,russian prime minsiter,1
mturk,putin,name,partial,russion prime minister,1
mturk,putin,photo,partial,"he's pro-russia, but i don't know his exact positions (other than squashing dissent)",1
mturk,putin,photo,partial,president or main leader of soviet union,1
mturk,putin,photo,partial,puti russia pm,1
mturk,putin,photo,partial,putin - russia,1
mturk,putin,photo,partial,putin of russia,1
mturk,putin,photo,partial,"putin, russia",1
